Subject,age,race,race_7_TEXT,maritalstatus,education,yearseducation,english.as.a.first.language,if.not.english.then.what,english.comfort.talk,english.comfort.read,usstate,Children,Children_number,Siblings,Siblings_2_number,Church,Household income,employmentindustry,OverallHealth,BFI.1_1,BFI.1_2,BFI.1_3,BFI.1_4,BFI.1_5,BFI.1_6,BFI.1_7,BFI.1_8,BFI.1_9,BFI.1_10,BFI.2_1,BFI.2_2,BFI.2_3,BFI.2_4,BFI.2_5,BFI.2_6,BFI.2_7,BFI.2_8,BFI.2_9,BFI.2_10,BFI.3_1,BFI.3_2,BFI.3_3,BFI.3_4,BFI.3_5,BFI.3_6,BFI.3_7,BFI.3_8,BFI.3_9,BFI.3_10,BFI.4_1,BFI.4_2,BFI.4_3,BFI.4_4,BFI.4_5,BFI.4_6,BFI.4_7,BFI.4_8,BFI.4_9,BFI.4_10,BFI.5_1,BFI.5_2,BFI.5_3,BFI.5_4,BFI.5_5,BFI.5_6,BFI.5_7,BFI.5_8,BFI.5_9,BFI.5_10,BFI.6_1,BFI.6_2,BFI.6_3,BFI.6_4,BFI.6_5,BFI.6_6,BFI.6_7,BFI.6_8,BFI.6_9,BFI.6_10,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
14,66,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,South Carolina,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,No,"$20,000 - $34,999",Retired,Very good,1,5,2,4,3,1,5,2,4,4,1,1,4,1,4,5,1,4,2,4,1,1,1,4,1,2,4,2,4,2,4,5,4,4,4,2,1,5,1,4,4,2,5,4,2,1,1,2,4,3,4,5,5,1,1,4,4,1,2,4,30,57,53,23,48
15,64,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,Yes,"$100,000 - $150,000","Management, professional, and related",Very good,4,4,1,5,1,3,5,1,5,5,1,2,5,1,5,4,1,4,1,4,4,1,1,4,1,2,5,1,5,1,4,5,4,1,4,2,2,5,1,4,4,1,5,4,1,4,1,1,4,2,3,5,5,1,1,5,5,1,1,5,44,57,58,15,56
16,60,White,,Single,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Washington,No,0,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999","Production, transportation, and material moving",Good,5,4,1,5,4,4,5,1,4,5,2,2,5,1,4,3,2,5,1,4,4,1,2,5,1,2,3,1,5,2,1,5,4,1,4,1,2,5,1,5,4,2,5,5,2,4,2,1,5,4,1,5,5,1,1,4,4,2,1,4,51,51,57,13,48
17,65,White,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,Tennessee,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,No,"$35,000 - $49,999",Retired,Good,1,5,5,1,2,1,5,4,3,5,2,3,4,4,2,3,1,2,4,5,1,1,5,3,1,4,5,2,1,4,5,4,1,4,5,5,1,2,4,5,1,3,4,2,2,3,1,1,1,2,5,5,2,5,1,1,2,1,4,1,20,52,33,50,47
18,60,White,,Widowed,Associate degree,14,Yes,,Very comfortable,Very comfortable,Michigan,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999","Management, professional, and related",Very good,5,5,1,5,1,4,5,1,5,5,1,1,5,1,4,2,1,5,2,4,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,2,1,5,1,5,5,1,5,5,1,5,1,1,1,1,1,5,5,1,1,5,5,1,1,5,57,60,60,17,58
19,60,Black or African American,,Single,"Some college, no degree",16,Yes,,Very comfortable,Very comfortable,Mississippi,"Yes, I have ___ children",3,"Yes, I have ___ siblings",6,Yes,"$20,000 - $34,999",Retired,Poor,1,5,1,5,1,1,5,1,5,4,4,3,5,1,1,5,1,,1,1,3,1,1,5,1,5,5,1,4,5,4,5,5,5,3,5,1,5,3,5,1,4,5,4,1,1,1,1,4,5,3,5,5,1,1,3,3,1,1,3,20,53,55,21,39
20,60,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000",Sales and office,Very good,4,5,1,5,1,1,5,1,5,5,1,1,5,1,5,4,1,5,3,4,3,1,1,5,1,1,5,1,5,1,2,5,5,4,5,1,1,5,1,5,5,1,5,5,1,3,1,1,3,1,3,5,5,1,1,5,5,1,1,5,45,60,60,19,59
21,63,White,,Divorced,Master's degree,21,Yes,,Very comfortable,Very comfortable,Arkansas,"Yes, I have ___ children",2,No,0,No,"$20,000 - $34,999",Retired,Very good,4,4,1,4,1,3,5,1,5,5,1,1,5,1,4,3,1,5,1,5,3,1,1,5,1,4,5,1,5,1,4,4,4,1,5,2,1,5,3,5,4,2,5,5,1,3,1,1,3,1,3,5,5,1,1,4,3,1,1,5,40,55,59,17,59
22,60,Black or African American,,Married,"Some college, no degree",12,Yes,,Very comfortable,Very comfortable,Mississippi,"Yes, I have ___ children",2,"Yes, I have ___ siblings",6,Yes,"$35,000 - $49,999",Retired,Poor,2,5,2,3,2,1,5,1,2,5,2,4,4,2,3,2,1,4,4,4,1,1,4,2,3,4,1,1,3,4,2,3,4,5,4,4,1,3,3,4,1,4,4,4,1,3,1,1,2,1,5,5,5,3,2,1,2,1,3,2,26,45,50,40,45
23,60,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$20,000 - $34,999",Unemployed,Good,1,4,1,2,2,3,4,2,5,5,4,5,5,4,5,5,3,5,4,3,4,2,2,4,1,4,3,1,3,1,5,5,5,3,5,3,4,5,5,5,2,5,5,2,1,5,3,1,3,4,3,4,5,4,1,3,1,2,4,5,30,35,57,41,54
24,70,White,,,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,New York,No,0,"Yes, I have ___ siblings",1,Yes,"$50,000 - $74,999","Management, professional, and related",Very good,4,5,1,5,2,4,5,1,5,5,1,1,5,1,4,2,1,4,1,4,4,1,1,5,1,1,5,1,5,1,2,5,4,1,4,1,1,5,1,4,5,1,5,5,1,4,1,1,1,1,1,5,5,1,1,5,5,1,1,4,54,60,58,16,54
25,70,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",1,"Yes, I have ___ siblings",7,No,"$35,000 - $49,999",Unemployed,Very good,4,5,1,5,2,3,5,1,5,4,1,1,5,1,4,3,1,4,1,3,1,1,1,5,1,1,5,1,5,2,2,5,4,1,4,3,1,5,1,2,4,1,5,4,1,3,1,1,4,1,3,5,4,1,2,4,4,1,1,5,42,59,57,14,49
26,62,White,,Single,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Illinois,No,0,"Yes, I have ___ siblings",2,Yes,"$20,000 - $34,999","Management, professional, and related",Fair,2,5,2,2,1,2,5,4,2,5,1,2,4,3,4,5,1,4,4,5,1,1,4,2,1,4,4,2,3,1,4,4,4,4,5,4,1,2,4,4,2,3,4,4,1,2,1,4,2,2,4,5,3,4,1,4,3,4,2,5,27,53,37,42,57
27,60,White,,Living with a partner,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999",Unemployed,Good,2,4,4,4,2,2,5,4,4,4,4,2,4,4,4,4,2,2,4,4,1,1,4,4,2,4,4,4,4,2,5,4,1,2,4,2,1,5,4,4,2,4,4,4,1,2,2,4,1,1,4,5,5,4,4,4,4,2,2,4,26,50,35,35,48
28,74,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999",Service,Excellent,5,5,1,5,1,1,5,1,5,5,2,2,5,1,4,3,1,5,1,4,3,1,1,5,1,1,2,1,5,2,2,5,5,1,5,3,1,5,1,3,5,1,5,3,2,3,1,1,5,2,3,5,5,1,2,4,4,1,1,4,43,55,60,14,51
29,72,White,,Widowed,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,,"Yes, I have ___ children",2,"Yes, I have ___ siblings",5,No,"$10,000 - $19,999",Retired,Fair,3,5,1,4,2,1,5,2,4,4,3,2,4,2,4,3,1,5,3,4,3,1,2,3,2,4,4,2,4,,4,5,5,2,4,3,1,5,4,4,2,2,5,4,2,4,1,1,2,2,3,5,5,3,2,4,4,1,3,4,33,56,56,32,44
30,66,White,,Living with a partner,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,No,"$75,000 - $99,999","Management, professional, and related",Very good,1,4,2,4,2,1,4,2,4,4,4,3,4,2,4,5,2,4,3,4,1,1,1,4,2,1,4,3,4,2,5,4,3,2,4,3,4,4,1,3,3,2,4,4,2,1,2,2,2,3,3,3,4,2,2,3,4,2,2,4,25,45,47,26,46
31,68,White,,Divorced,Bachelor's degree,17,Yes,,Very comfortable,Very comfortable,Texas,No,0,No,0,Yes,"$10,000 - $19,999",Service,Fair,4,5,1,4,1,4,5,1,4,5,1,2,5,2,5,4,1,5,3,5,2,1,1,5,1,4,4,2,4,1,2,5,5,1,5,1,1,5,2,5,4,2,4,3,1,4,1,1,4,1,2,5,5,1,1,4,4,1,1,5,44,56,58,22,60
32,61,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",2,No,0,No,"$50,000 - $74,999",Unemployed,Fair,1,5,5,1,4,1,5,5,1,5,1,4,2,5,1,5,1,1,4,4,1,1,5,1,4,5,2,5,1,4,4,5,1,5,2,4,4,1,5,1,1,1,2,2,3,4,1,2,1,2,5,5,2,5,4,2,5,1,5,1,22,51,22,58,29
33,60,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Michigan,"Yes, I have ___ children",1,No,0,No,"Over $150,000",Unemployed,Good,4,4,1,1,1,4,5,1,2,3,2,4,4,4,4,2,1,5,4,4,2,2,2,2,2,1,3,2,1,1,2,4,5,5,5,3,1,5,2,5,4,5,4,2,1,4,1,1,1,3,2,5,5,3,3,3,2,1,5,4,45,45,56,50,50
34,62,White,,Married,Bachelor's degree,14,Yes,,Very comfortable,Very comfortable,Georgia,No,0,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999",Retired,Good,4,4,4,4,1,4,4,2,4,5,1,4,3,1,5,2,2,2,2,4,4,1,3,5,1,4,3,3,4,1,4,3,3,1,5,3,1,3,1,4,2,4,2,5,1,5,1,2,4,2,4,4,4,1,1,5,3,1,1,5,42,44,38,17,57
35,72,White,,Divorced,Doctorate,24,Yes,,Very comfortable,Very comfortable,Tennessee,No,0,"Yes, I have ___ siblings",1,No,"$10,000 - $19,999",Retired,Very good,5,5,1,5,3,1,5,4,5,5,1,1,5,1,3,3,1,4,1,5,1,1,1,5,1,5,5,1,5,2,2,4,2,1,5,5,1,3,1,4,3,1,5,5,1,3,1,4,5,3,3,5,5,1,1,5,5,2,1,3,35,59,47,12,50
36,61,Black or African American,,Single,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",5,No,"$50,000 - $74,999","Management, professional, and related",Good,4,4,2,4,2,4,3,4,3,5,3,2,4,4,4,4,2,3,3,5,4,2,3,3,2,3,3,2,4,1,3,3,3,3,5,2,3,4,3,4,2,4,4,4,2,3,3,2,3,3,2,4,4,4,2,3,2,3,2,4,39,39,42,34,51
37,76,White,,Divorced,Associate degree,20,Yes,,Very comfortable,Very comfortable,Georgia,No,0,"Yes, I have ___ siblings",0,No,"$20,000 - $34,999",Retired,Very good,4,5,5,4,1,5,5,2,5,5,1,4,5,1,5,2,1,5,1,5,5,4,2,5,1,3,5,1,5,1,1,5,4,1,5,1,2,5,1,5,2,3,5,4,1,5,2,1,5,1,1,5,5,1,1,4,4,1,1,5,52,49,53,14,60
38,60,White,,Living with a partner,"Some college, no degree",15,Yes,,Very comfortable,Very comfortable,New Jersey,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$100,000 - $150,000",Service,Very good,2,5,1,5,1,4,5,2,5,5,2,4,5,1,4,5,1,4,2,5,4,1,1,4,1,2,2,4,5,1,5,5,4,2,5,1,1,4,1,5,2,1,5,5,1,2,2,1,5,1,2,5,5,2,1,2,5,4,1,4,35,53,50,16,58
39,68,White,,Single,Bachelor's degree,18,Yes,,Very comfortable,Very comfortable,Wisconsin,No,0,"Yes, I have ___ siblings",3,Yes,"$75,000 - $99,999","Farming, fishing, and forestry",Very good,3,5,1,4,1,3,5,2,4,5,2,2,4,2,5,4,5,5,2,5,3,1,2,4,2,2,5,2,4,1,3,4,5,2,5,3,1,4,2,4,3,2,4,5,2,3,1,1,2,1,3,5,4,2,1,4,5,1,2,4,38,53,53,25,56
40,65,White,,Married,Master's degree,19,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",4,Yes,"$20,000 - $34,999",Sales and office,Good,4,4,4,5,1,5,5,1,5,5,1,2,5,1,4,2,2,5,2,5,5,1,1,5,2,1,5,4,5,1,4,5,2,2,5,4,4,5,1,4,5,1,5,5,1,4,1,2,1,2,2,5,5,1,2,5,5,1,1,4,50,54,50,18,54
41,60,White,,Married,"Some college, no degree",16,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,Yes,"Over $150,000","Management, professional, and related",Good,5,5,2,5,1,5,5,2,5,5,1,2,5,1,5,1,1,3,3,5,5,1,1,5,1,4,5,4,5,1,1,5,2,2,5,1,2,5,3,5,4,1,5,4,1,5,1,2,2,1,1,5,5,1,1,5,4,4,2,5,56,57,46,22,60
42,75,Hispanic,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$100,000 - $150,000",Retired,Very good,1,1,1,4,3,4,5,1,5,5,2,1,5,2,4,3,3,4,3,4,2,1,2,5,4,3,1,2,4,3,4,3,4,1,4,5,1,4,1,4,2,4,5,4,1,1,2,1,4,4,2,4,5,1,5,2,1,2,1,2,29,39,54,19,39
43,73,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",1,"Yes, I have ___ siblings",0,No,"$35,000 - $49,999","Management, professional, and related",Fair,5,5,4,3,1,4,5,1,3,5,1,4,5,4,5,4,1,4,5,5,4,3,4,2,1,1,3,4,3,1,4,4,3,5,5,3,3,4,4,5,2,3,4,4,1,4,2,1,1,1,4,5,5,5,1,3,2,4,2,5,41,44,43,45,60
44,70,White,,Single,Master's degree,18,Yes,,Very comfortable,Very comfortable,Michigan,No,0,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999","Management, professional, and related",Good,2,3,4,4,3,4,4,3,5,4,3,2,5,1,3,5,3,2,3,3,4,1,4,5,2,3,4,3,5,3,5,4,2,1,4,3,2,4,2,3,2,1,5,5,2,2,3,4,5,4,2,4,5,2,3,3,4,1,1,4,32,47,40,17,40
45,60,White,,Married,Associate degree,17,Yes,,Very comfortable,Very comfortable,Nebraska,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"$100,000 - $150,000",Service,Very good,3,5,1,4,5,1,5,1,5,4,3,1,5,1,5,4,3,5,2,3,2,1,2,4,4,2,5,1,4,3,4,5,5,4,4,1,1,5,1,2,4,2,5,5,2,5,1,1,3,1,2,5,5,1,4,5,5,1,1,5,40,57,59,21,40
46,62,Hispanic,,Divorced,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Nevada,No,0,No,0,No,"$20,000 - $34,999",Service,Good,5,5,1,4,3,3,5,5,2,5,4,2,5,1,3,1,1,4,4,3,1,1,5,5,5,5,4,2,2,3,1,5,5,4,3,3,1,4,4,2,1,4,5,4,2,5,1,1,2,5,5,5,4,4,4,2,3,1,1,3,34,53,48,35,33
47,62,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,Yes,"$35,000 - $49,999","Management, professional, and related",Very good,5,4,1,4,1,5,5,1,5,5,1,2,5,1,5,1,1,5,1,5,4,1,1,5,1,1,1,1,5,1,1,4,5,1,5,1,1,5,1,4,4,2,5,5,1,5,1,1,4,1,1,5,5,1,1,5,2,1,1,5,58,49,60,14,59
48,62,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,No,"$10,000 - $19,999","Management, professional, and related",Good,5,5,1,4,1,1,5,1,3,4,1,1,5,1,3,4,5,5,1,1,1,1,1,4,1,1,5,1,1,1,4,5,5,4,4,1,1,5,1,1,4,1,5,1,1,5,1,1,1,3,1,5,5,1,1,5,5,1,1,5,45,56,60,31,46
49,69,Black or African American,,Separated,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Other,No,0,No,0,Yes,"$35,000 - $49,999",Service,Very good,4,5,2,5,1,3,5,1,5,5,1,1,5,1,4,2,1,4,1,5,4,1,1,5,1,1,5,2,5,1,1,5,4,1,5,1,1,5,1,4,4,1,5,5,1,4,1,2,5,1,2,5,5,1,1,5,5,1,1,5,52,60,55,12,58
50,67,White,,Married,Bachelor's degree,18,Yes,,Very comfortable,Very comfortable,Florida,No,0,"Yes, I have ___ siblings",3,Yes,"$20,000 - $34,999",Retired,Very good,4,5,1,2,1,4,5,1,4,5,1,1,5,3,4,3,1,5,3,5,5,1,1,5,1,1,5,1,3,1,4,5,5,4,5,2,2,5,2,5,4,2,5,4,1,5,1,1,2,1,2,5,5,1,1,4,4,2,2,5,49,57,59,31,59
51,62,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Oklahoma,"Yes, I have ___ children",0,"Yes, I have ___ siblings",1,Yes,"$50,000 - $74,999",Retired,Very good,4,5,1,4,2,3,5,1,5,2,1,3,4,2,2,3,1,5,2,2,4,2,1,5,2,1,4,1,3,3,2,4,5,2,2,2,1,5,2,2,4,4,3,3,2,3,1,1,2,4,3,5,5,2,4,4,2,1,2,2,46,49,57,26,31
52,60,White,,Married,Associate degree,17,Yes,,Very comfortable,Very comfortable,Maryland,No,0,"Yes, I have ___ siblings",5,No,"$50,000 - $74,999","Management, professional, and related",Very good,4,5,1,5,4,4,5,1,5,4,1,1,5,1,2,4,5,5,2,4,4,1,1,5,1,1,5,1,5,4,4,5,5,1,4,2,1,5,1,4,4,2,5,5,4,4,1,1,5,2,2,5,5,1,4,5,5,1,1,2,47,55,60,13,37
53,61,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$10,000 - $19,999",Retired,Good,4,5,1,4,3,5,5,1,5,5,2,1,5,1,4,3,1,5,1,3,3,1,1,5,3,2,5,1,5,2,3,5,5,2,5,2,1,5,1,4,4,2,5,5,2,4,1,1,5,2,2,5,5,1,3,4,5,1,1,4,46,59,60,14,46
54,72,White,,Widowed,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",3,"Yes, I have ___ siblings",4,No,"$75,000 - $99,999",Retired,Good,3,5,3,1,5,2,5,2,4,4,2,1,5,1,3,4,1,5,3,4,2,1,3,3,5,3,5,4,4,4,4,5,4,5,4,3,1,4,3,1,3,3,5,3,3,2,1,2,2,2,5,5,4,3,5,4,4,1,4,3,31,57,48,38,31
55,66,Hispanic,,Single,Associate degree,17,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",4,No,"$20,000 - $34,999","Management, professional, and related",Excellent,4,4,1,4,1,2,5,1,3,5,2,2,5,1,4,4,1,3,1,5,1,1,1,4,1,1,4,1,5,1,4,5,3,2,5,3,1,5,2,5,2,2,5,5,1,2,1,1,2,3,3,5,5,1,1,3,4,1,1,4,33,55,56,21,56
56,64,Asian,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999","Management, professional, and related",Good,2,4,3,4,3,4,5,3,4,5,2,2,5,1,4,4,3,4,3,2,4,2,2,5,1,4,4,2,5,3,5,3,3,1,4,3,2,4,1,5,3,4,5,5,3,2,3,2,4,3,2,5,5,1,3,3,4,3,2,5,34,45,47,18,45
