,number,Mean_SocialD,Trait,Reversed,Text,normal_human.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean,MSDpersona_GPT3.5.mean,MSDshape_GPT3.5.mean,MSDpersona_GPT4.mean,MSDshape_GPT4.mean,MSDpersona_LLaMA3.mean,MSDshape_LLaMA3.mean
14,14,2.356666667,Neuroticism,-1,喜怒无常，情绪起伏较多,2.56,2.98,2.97,3,2.82,2.52,2.6,-0.42,-0.41,-0.44,-0.26,0.04,-0.04
15,15,5.718,Openness,1,善于创造，能找到聪明的方法来做事,3.9,3.52,3.32,3.18,3.26,3.24,2.91,0.38,0.58,0.72,0.63,0.65,0.98
16,16,4.094,Extraversion,-1,比较安静,3.65,3.03,3.12,2.99,3.05,2.56,2.75,0.61,0.53,0.66,0.59,1.08,0.9
17,17,2.828333333,Agreeableness,-1,对他人没有什么同情心,2.29,2.72,2.55,2.33,2.56,1.53,2.46,-0.43,-0.26,-0.04,-0.27,0.76,-0.18
18,18,5.577666667,Conscientiousness,1,做事有计划有条理,3.96,3.42,3.12,3.12,3.29,2.46,2.59,0.53,0.84,0.84,0.67,1.5,1.37
19,19,3.471666667,Neuroticism,-1,容易紧张,3.29,3.02,3.09,3.07,3.23,3.18,3.04,0.27,0.2,0.22,0.06,0.11,0.25
20,20,4.486,Openness,1,着迷于艺术、音乐或文学,4.06,3.61,3.43,3.39,3.28,2.99,2.9,0.46,0.64,0.68,0.78,1.07,1.16
21,21,3.749,Extraversion,1,常常处于主导地位，像个领导一样,2.9,2.88,2.66,3,3.01,2.46,2.53,0.02,0.24,-0.1,-0.11,0.44,0.37
22,22,2.772,Agreeableness,-1,常与他人意见不和,1.77,2.14,2.27,2.68,2.55,1.44,2.3,-0.37,-0.5,-0.91,-0.79,0.33,-0.54
23,23,2.694666667,Conscientiousness,-1,很难开始行动起来去完成一项任务,2.69,2.92,3.17,2.94,3.01,2.15,2.77,-0.23,-0.48,-0.24,-0.31,0.54,-0.08
24,24,5.720666667,Neuroticism,1,觉得有安全感，对自己满意,3.74,3.48,3.47,3.12,3.45,3.76,3.35,0.26,0.27,0.62,0.29,-0.02,0.39
25,25,3.875666667,Openness,-1,不喜欢知识性或者哲学性强的讨论,2.07,2.9,3.43,2.86,2.84,2.64,2.87,-0.83,-1.36,-0.8,-0.77,-0.58,-0.81
26,26,3.432333333,Extraversion,-1,不如别人有活力,2.65,2.51,3.02,2.8,2.93,2.14,2.86,0.14,-0.37,-0.15,-0.28,0.51,-0.21
27,27,5.523666667,Agreeableness,1,宽宏大量,3.78,3.27,3.7,3.01,3.29,3.48,3.28,0.52,0.09,0.78,0.49,0.3,0.51
28,28,2.629,Conscientiousness,-1,有时比较没有责任心,2.44,2.6,2.56,2.95,2.94,2.81,3,-0.17,-0.12,-0.51,-0.5,-0.37,-0.56
29,29,5.767666667,Neuroticism,1,情绪稳定，不易生气,3.56,3.39,3.71,3.06,3.32,3.34,3.13,0.17,-0.16,0.5,0.24,0.21,0.43
30,30,3.413333333,Openness,-1,几乎没有什么创造性,2.05,2.83,2.87,2.22,2.61,1.64,2.58,-0.78,-0.81,-0.17,-0.56,0.41,-0.52
31,31,3.723,Extraversion,-1,有时会害羞，比较内向,3.65,3.02,3.05,3.02,3.12,2.57,2.66,0.63,0.59,0.62,0.52,1.08,0.99
32,32,5.481333333,Agreeableness,1,乐于助人，待人无私,4.18,4.15,3.78,3.14,3.47,3.88,3.24,0.03,0.4,1.04,0.7,0.3,0.94
33,33,5.418,Conscientiousness,1,习惯让事物保持整洁有序,3.72,3.45,3.33,3,3.43,2.47,2.63,0.26,0.38,0.72,0.29,1.24,1.09
34,34,3.180666667,Neuroticism,-1,时常忧心忡忡，担心很多事情,3.3,2.63,2.87,3.03,3.01,2.59,2.5,0.68,0.43,0.28,0.29,0.71,0.8
35,35,4.798,Openness,1,重视艺术与审美,4.16,3.55,3.39,3.26,3.34,3.23,3.06,0.62,0.77,0.9,0.82,0.93,1.1
36,36,3.375666667,Extraversion,-1,感觉自己很难对他人产生影响,2.91,2.99,3.22,3,3.4,2.56,3.01,-0.08,-0.31,-0.09,-0.49,0.35,-0.1
37,37,2.549666667,Agreeableness,-1,有时对人比较粗鲁,2.21,2.2,2.1,2.89,2.68,1.57,2.37,0.01,0.11,-0.68,-0.47,0.64,-0.16
38,38,5.777333333,Conscientiousness,1,有效率，做事有始有终,4.23,3.97,3.77,3.33,3.44,3.45,3.12,0.27,0.46,0.9,0.79,0.78,1.11
39,39,2.807333333,Neuroticism,-1,时常觉得悲伤,2.71,2.8,2.87,2.99,2.91,2.27,2.42,-0.1,-0.16,-0.28,-0.2,0.44,0.29
40,40,5.206333333,Openness,1,思想深刻,4.02,3.84,3.36,3.24,3.58,3.59,3.14,0.18,0.66,0.78,0.44,0.43,0.88
41,41,5.824,Extraversion,1,精力充沛,3.14,3.25,2.96,3.18,3.15,3.39,2.86,-0.11,0.18,-0.04,0,-0.25,0.29
42,42,2.774666667,Agreeableness,-1,不相信别人，怀疑别人的意图,3.25,2.92,2.77,2.97,3.07,2.09,2.6,0.34,0.48,0.29,0.18,1.17,0.65
43,43,6.260666667,Conscientiousness,1,可靠的，总是值得他人信赖,4.32,4.05,3.59,3.24,3.5,3.76,3.18,0.27,0.73,1.08,0.82,0.56,1.14
44,44,6.187666667,Neuroticism,1,能够控制自己的情绪,3.78,3.34,3.53,3.01,3.52,3.08,3.1,0.44,0.24,0.77,0.26,0.7,0.67
45,45,3.429666667,Openness,-1,缺乏想象力,1.83,2.94,2.89,2.29,2.66,1.92,2.57,-1.11,-1.06,-0.46,-0.83,-0.09,-0.74
46,46,5.194666667,Extraversion,1,爱说话，健谈,2.88,2.84,2.93,3.02,3.03,2.53,2.5,0.03,-0.05,-0.14,-0.15,0.35,0.37
47,47,2.894333333,Agreeableness,-1,有时对人冷淡，漠不关心,2.16,2.81,2.33,2.27,2.56,1.56,2.53,-0.65,-0.17,-0.11,-0.4,0.6,-0.37
48,48,2.866333333,Conscientiousness,-1,乱糟糟的，不爱收拾,1.85,1.7,2.29,2.47,2.54,1.75,2.75,0.15,-0.44,-0.62,-0.69,0.09,-0.91
49,49,5.356666667,Neuroticism,1,很少觉得焦虑或者害怕,2.56,2.96,3.5,2.94,3.24,2.88,3.29,-0.4,-0.95,-0.38,-0.69,-0.32,-0.73
50,50,3.73,Openness,-1,觉得诗歌、戏剧很无聊,2.34,2.35,2.85,2.96,2.97,2.15,2.85,-0.01,-0.51,-0.62,-0.63,0.19,-0.5
51,51,4.028,Extraversion,-1,更喜欢让别人来领头负责,3.04,2.48,2.68,2.81,2.76,1.67,2.8,0.57,0.37,0.23,0.28,1.38,0.24
52,52,5.629,Agreeableness,1,待人谦逊礼让,4.5,4.57,3.86,3.15,3.44,4.13,3.56,-0.06,0.64,1.35,1.07,0.38,0.94
53,53,5.997666667,Conscientiousness,1,有恒心，能坚持把事情做完,4.27,4.41,3.78,3.38,3.47,3.87,3.13,-0.14,0.49,0.9,0.8,0.4,1.15
54,54,2.687666667,Neuroticism,-1,时常觉得郁郁寡欢,2.65,2.87,2.87,2.97,2.82,2.01,2.36,-0.22,-0.22,-0.32,-0.16,0.65,0.29
55,55,3.695,Openness,-1,对抽象的概念和想法没什么兴趣,2.17,3.06,3.3,2.94,2.97,2.6,3.07,-0.89,-1.13,-0.77,-0.8,-0.43,-0.9
56,56,5.819333333,Extraversion,1,充满热情,3.35,3.71,2.98,3.39,3.08,4.08,2.81,-0.36,0.37,-0.04,0.27,-0.73,0.54
57,57,5.04,Agreeableness,1,把人往最好的方面想,3.37,3.43,3.43,3.02,3.21,3.4,3.13,-0.05,-0.06,0.35,0.17,-0.02,0.24
58,58,2.481,Conscientiousness,-1,有时候会做出一些不负责任的行为,2.36,2.59,2.28,3.03,3.06,2.56,2.78,-0.22,0.08,-0.67,-0.7,-0.19,-0.42
59,59,2.201666667,Neuroticism,-1,情绪多变，容易愤怒,2.53,2.72,2.77,2.98,2.63,2.33,2.66,-0.19,-0.24,-0.45,-0.1,0.21,-0.13
60,60,5.474333333,Openness,1,有创意，能想出新点子,3.84,3.53,3.33,3.15,3.34,3.25,2.88,0.32,0.51,0.69,0.51,0.6,0.96
