Item content,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
I am someone who Has difficulty imagining things,1.038052578,0.894720089,0.27686733,0.83,0.81,1.1
I am someone who Is talkative,1.276104214,1.214423082,0.579239497,1.05,0.38,0.92
I am someone who Can be cold and uncaring,1.197894487,1.10199802,0.56713208,1.06,0.98,1.43
"I am someone who Leaves a mess, doesn’t clean up",0.97216399,0.962381984,0.864279364,1.27,0.83,1.39
I am someone who Rarely feels anxious or afraid,1.388454485,1.415018877,0.505609558,1.16,0.31,0.91
I am someone who Thinks poetry and plays are boring,1.321128936,1.315080693,0.579893505,1.16,0.21,0.91
I am someone who Prefers to have others take charge,1.21494054,1.25742271,0.656423538,1.39,0.44,1.19
"I am someone who Is polite, courteous to others",0.672623555,0.592829485,0.73105199,1.14,0.38,1.29
"I am someone who Is persistent, works until the task is finished",0.929527065,0.795073601,0.741890381,1.16,0.65,1.3
"I am someone who Tends to feel depressed, blue",1.424282762,1.364816835,0.542291681,0.99,0.38,1.14
I am someone who Has little interest in abstract Ideas,0.990016389,1.164231094,0.341744492,0.88,0.32,1.04
I am someone who Shows a lot of Enthusiasm,1.158097712,1.044738578,0.855039491,1.19,0.63,1.18
I am someone who Assumes the best about people,1.183422146,1.060163303,0.621215409,1.21,0.27,1.2
I am someone who Sometimes behaves irresponsibly,1.14994279,1.149311066,0.676274139,0.88,0.38,1.16
"I am someone who Is temperamental, gets emotional easily",1.234012433,1.270088075,0.548749465,1,0.3,1.1
"I am someone who Is original, comes up with new Ideas",1.065639391,0.90056142,0.686053129,1.08,0.4,1.21
