Item content,normal_human.mean,old_people.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean
"I am someone who Is complex, a deep thinker",4.02,4.08,3.84,3.36,3.24,3.58,3.59,3.14
I am someone who Is full of energy,3.14,3.48,3.25,2.96,3.18,3.15,3.39,2.86
I am someone who Is suspicious of others’ intentions,2.75,3.4,3.08,3.23,3.03,2.93,3.91,3.4
"I am someone who Is reliable, can always be counted on",4.32,4.48,4.05,3.59,3.24,3.5,3.76,3.18
I am someone who Keeps their emotions under control,2.22,1.83,2.66,2.47,2.99,2.48,2.92,2.9
I am someone who Has difficulty imagining things,4.17,4.38,3.06,3.11,3.71,3.34,4.08,3.43
I am someone who Is talkative,2.88,3.19,2.84,2.93,3.02,3.03,2.53,2.5
I am someone who Can be cold and uncaring,3.84,4.15,3.19,3.67,3.73,3.44,4.44,3.47
"I am someone who Leaves a mess, doesn’t clean up",4.15,4.39,4.3,3.71,3.53,3.46,4.25,3.25
I am someone who Rarely feels anxious or afraid,3.44,2.76,3.04,2.5,3.06,2.76,3.12,2.71
I am someone who Thinks poetry and plays are boring,3.66,3.87,3.65,3.15,3.04,3.03,3.85,3.15
I am someone who Prefers to have others take charge,2.96,3.24,3.52,3.32,3.19,3.24,4.33,3.2
"I am someone who Is polite, courteous to others",4.5,4.63,4.57,3.86,3.15,3.44,4.13,3.56
"I am someone who Is persistent, works until the task is finished",4.27,4.44,4.41,3.78,3.38,3.47,3.87,3.13
"I am someone who Tends to feel depressed, blue",2.65,2.05,2.87,2.87,2.97,2.82,2.01,2.36
I am someone who Has little interest in abstract Ideas,3.83,4.19,2.94,2.7,3.06,3.03,3.4,2.93
I am someone who Shows a lot of Enthusiasm,3.35,3.85,3.71,2.98,3.39,3.08,4.08,2.81
I am someone who Assumes the best about people,3.37,3.8,3.43,3.43,3.02,3.21,3.4,3.13
I am someone who Sometimes behaves irresponsibly,3.64,4.11,3.41,3.72,2.97,2.94,3.44,3.22
"I am someone who Is temperamental, gets emotional easily",2.53,2.04,2.72,2.77,2.98,2.63,2.33,2.66
"I am someone who Is original, comes up with new Ideas",3.84,4.25,3.53,3.33,3.15,3.34,3.25,2.88
