,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"very active, very energetic, very extraverted, very assertive and very adventurous and daring",5,4,2,4,2,5,5,1,5,5,1,3,5,2,5,1,1,3,2,4,5,4,1,5,1,1,4,4,5,1,1,5,4,2,4,1,2,5,1,5,5,2,5,4,1,5,1,2,5,2,1,4,5,1,2,5,4,4,2,5
"predictable, unreflective, unaesthetic, emotionally closed and  unintelligent",1,1,3,3,5,3,3,3,2,1,5,3,4,3,1,3,5,4,3,1,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1,3,3,3,3,1,3,3,4,4,5,3,5,3,3,5,3,3,3,3,5,1,3,3,1,1
"a bit spontaneous, a bit imaginative, a bit artistically appreciative, a bit curious and a bit reflective",3,4,3,3,2,3,4,3,4,5,2,2,3,3,4,3,2,3,4,4,3,2,3,4,2,3,4,3,3,2,4,4,3,3,4,3,2,4,3,4,4,3,3,3,2,3,2,2,3,2,2,4,4,3,2,4,4,3,3,4
"discontented, tense, angry, depressed and  anxious",2,2,3,1,3,3,3,3,2,2,5,4,2,5,2,3,2,2,5,3,2,4,4,1,3,3,2,3,1,3,3,2,3,5,3,4,4,2,5,4,2,4,2,2,3,2,4,2,5,3,2,2,3,5,3,2,2,4,5,3
"extremely careless, extremely messy, extremely undisciplined, extremely negligent and extremely lazy",3,3,5,3,3,2,2,5,3,3,3,3,1,3,2,3,3,1,3,3,1,3,5,2,3,5,3,5,3,3,3,2,1,3,3,4,3,1,3,2,1,3,1,2,3,3,3,5,3,3,5,2,1,3,3,2,3,5,3,2
"very artistically unappreciative, very unaesthetic, very predictable, very emotionally closed and very unintelligent",1,1,3,3,5,3,3,3,2,1,5,3,4,2,1,4,5,5,3,1,3,3,3,3,5,3,3,3,3,5,3,3,4,3,1,5,3,3,3,1,3,3,4,5,5,3,5,3,3,5,3,3,5,3,5,1,3,3,1,1
"extremely self-conscious, extremely tense, extremely angry, extremely impulsive and extremely nervous",1,2,3,1,3,2,3,1,1,3,1,5,1,5,2,1,1,1,5,3,1,5,5,1,1,1,2,5,1,1,5,2,2,5,3,5,5,2,5,5,2,5,2,1,1,2,1,1,1,3,1,2,2,5,1,2,2,5,5,3
"a bit unselfconscious, a bit emotionally stable, a bit relaxed, a bit calm and a bit patient",3,3,3,4,3,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,2,3
"a bit extraverted, a bit talkative, a bit friendly, a bit energetic and a bit cheerful",4,4,3,4,3,4,5,2,4,4,2,2,4,3,4,2,2,4,3,4,3,2,3,4,2,3,4,3,4,2,2,4,4,3,4,3,2,4,2,4,4,2,4,4,2,4,2,2,3,3,2,4,4,2,3,4,4,3,3,4
"emotionally unstable, angry, impulsive, tense and  discontented",2,1,4,1,1,4,2,1,1,3,1,5,1,5,2,1,5,1,5,3,1,5,4,1,1,2,1,5,1,1,1,2,1,5,2,1,5,2,5,5,2,5,1,1,1,3,5,5,1,1,1,2,2,5,2,2,1,5,5,1
"a bit unsure, a bit impractical, a bit lazy, a bit disorganized and a bit negligent",2,3,4,2,3,2,3,4,2,3,3,2,3,4,3,3,2,2,3,3,2,3,4,3,3,4,3,4,2,3,4,3,3,3,3,4,3,2,3,3,2,3,3,2,3,3,3,4,3,3,4,3,2,3,3,3,3,4,3,2
"extremely moral, extremely generous, extremely altruistic, extremely agreeable and extremely honest",3,5,3,4,3,3,5,1,5,5,3,1,5,1,4,3,1,4,3,4,3,1,3,5,3,3,5,1,4,3,3,5,4,3,4,4,1,5,1,5,4,1,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,1,2,4
"a bit uncooperative, a bit self-important, a bit distrustful, a bit disagreeable and a bit immoral",2,2,3,2,2,4,2,3,2,2,2,4,2,4,3,2,4,2,4,2,5,4,3,2,2,2,2,2,2,1,2,2,2,3,3,2,5,2,3,5,3,4,2,3,3,3,4,4,3,4,1,2,2,3,3,2,2,4,3,5
"very undisciplined, very extravagant, very irresponsible, very lazy and very messy",3,3,5,5,3,3,3,5,3,3,3,3,1,4,3,3,3,1,3,3,2,3,5,2,3,4,3,5,3,3,3,3,1,3,3,4,4,1,3,3,2,3,1,2,3,3,3,5,3,3,4,2,1,3,3,3,3,5,4,3
"a bit agreeable, a bit sympathetic, a bit generous, a bit honest and a bit altruistic",3,4,3,4,3,3,4,3,4,4,3,2,4,3,4,3,2,4,3,4,3,2,3,4,3,3,4,3,4,3,4,4,4,3,4,3,3,4,3,4,4,3,4,4,3,3,2,2,3,3,3,4,4,3,3,4,4,3,3,4
"a bit gloomy, a bit silent, a bit timid, a bit unenergetic and a bit introverted",2,3,3,2,3,2,4,4,2,2,4,2,3,3,2,4,3,3,4,3,2,2,4,2,3,4,3,3,2,3,4,3,3,4,3,4,2,3,4,4,2,3,3,4,3,2,2,2,2,3,4,4,3,4,3,2,3,3,2,3
"neither unsympathetic nor sympathetic, neither immoral nor moral, neither disagreeable nor agreeable, neither selfish nor unselfish, and neither distrustful nor trustful",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit curious, a bit sophisticated, a bit analytical, a bit imaginative and a bit artistically appreciative",3,4,3,3,2,3,4,2,4,5,2,2,4,3,4,3,2,4,4,5,3,2,3,4,2,3,4,2,4,2,4,4,4,3,4,3,2,4,3,4,3,3,4,4,2,3,2,2,3,2,2,4,4,3,2,4,4,3,3,4
"very unaesthetic, very predictable, very uncreative, very unimaginative and very unreflective",3,3,3,3,5,3,3,3,3,1,3,3,5,3,1,3,3,5,3,1,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1,3,3,3,3,1,3,3,4,3,5,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1
"very unanalytical, very uninquisitive, very unreflective, very unsophisticated and very unimaginative",3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,4,3,3,3,1,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,1
"very self-important, very stingy, very selfish, very unkind and very immoral",2,1,3,1,3,5,1,5,1,1,3,5,1,3,5,3,5,3,3,2,5,5,3,5,4,3,1,5,1,3,2,1,2,3,2,5,5,5,2,2,3,5,1,3,3,4,5,5,3,4,1,1,2,1,3,2,1,5,3,3
"very artistically appreciative, very aesthetic, very spontaneous, very emotionally aware and very intelligent",4,5,2,3,1,3,5,1,5,5,1,2,4,4,5,3,1,3,4,5,3,2,2,4,1,2,5,2,4,1,2,5,3,2,5,4,2,4,4,5,4,2,4,3,1,4,1,1,3,1,2,5,4,2,1,5,4,3,4,5
"a bit gloomy, a bit inactive, a bit introverted, a bit unfriendly and a bit unassertive",2,2,3,2,3,2,3,4,2,2,4,3,3,4,2,4,3,3,4,3,2,2,4,2,3,4,3,3,3,3,4,2,3,4,3,4,4,2,4,3,2,4,3,3,3,2,4,3,3,3,4,2,2,4,3,2,2,3,3,3
"extremely analytical, extremely reflective, extremely spontaneous, extremely intelligent and extremely aesthetic",3,4,1,3,1,4,5,1,4,5,2,3,4,3,5,3,1,4,4,5,4,2,1,4,1,2,4,1,4,1,3,4,4,3,5,2,2,5,3,5,4,3,4,4,1,4,1,1,3,1,1,4,5,3,1,4,3,2,2,5
"very active, very bold, very assertive, very cheerful and very energetic",5,4,1,5,1,5,5,1,5,5,1,2,5,1,5,1,1,4,2,5,5,4,1,5,1,1,5,2,5,1,1,5,5,2,4,1,1,5,1,5,5,2,5,4,1,5,1,1,5,1,1,4,5,1,1,5,5,2,1,5
"a bit stingy, a bit dishonest, a bit disagreeable, a bit unkind and a bit unsympathetic",2,2,3,2,3,3,2,3,2,2,3,4,2,4,4,3,4,2,3,2,2,4,3,2,3,3,2,4,2,3,3,2,3,3,2,4,4,3,3,2,3,4,2,4,3,3,4,4,3,4,3,2,3,3,3,2,2,4,2,3
"thorough, practical, responsible, self-disciplined and  thrifty",3,3,1,3,3,3,5,1,4,4,3,2,5,2,3,3,2,5,3,3,3,1,2,4,3,3,4,1,4,2,3,4,5,3,3,3,1,5,3,4,4,3,5,4,2,3,1,1,3,3,2,5,5,3,4,3,3,1,1,3
"very dishonest, very uncooperative, very self-important, very stingy and very unaltruistic",3,1,1,5,1,5,1,1,1,3,1,5,1,1,3,1,5,5,5,1,5,5,5,5,1,1,1,5,1,3,5,5,3,1,3,5,5,3,4,5,3,5,1,5,3,3,5,5,3,5,5,1,2,3,1,3,1,5,3,1
"very predictable, very unimaginative, very artistically unappreciative, very unsophisticated and very unintelligent",3,3,3,3,5,3,3,3,3,1,3,3,5,3,1,3,3,5,3,1,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1,5,3,3,3,1,3,3,4,3,5,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1
"a bit organized, a bit responsible, a bit practical, a bit thrifty and a bit self-disciplined",3,3,2,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,4,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3
"disagreeable, dishonest, distrustful, selfish and  stingy",1,1,4,1,2,2,1,5,1,1,3,5,1,4,2,3,5,2,3,1,1,5,3,1,4,4,1,5,1,5,3,1,2,3,2,4,5,2,3,2,2,5,1,2,3,3,5,5,2,5,1,1,2,3,4,2,1,1,1,2
"extremely stingy, extremely unkind, extremely unaltruistic, extremely immoral and extremely uncooperative",1,1,3,1,3,1,1,5,1,1,3,5,1,3,3,3,5,3,3,3,1,5,3,1,1,3,1,5,3,3,3,1,3,3,1,5,5,1,3,1,3,5,1,1,3,3,5,5,3,3,1,1,1,3,3,1,1,5,1,3
"extremely careless, extremely lazy, extremely disorganized, extremely messy and extremely irresponsible",3,3,5,3,3,3,2,5,3,3,3,3,1,3,2,3,3,1,3,3,2,3,5,3,3,5,3,5,3,3,3,2,1,3,3,3,3,1,3,3,1,3,1,3,3,3,3,5,3,3,5,2,1,3,3,3,3,5,3,3
"extremely uninquisitive, extremely unreflective, extremely unaesthetic, extremely socially conservative and extremely uncreative",3,3,3,3,5,3,5,3,3,1,5,3,5,3,1,4,5,5,3,1,3,3,3,5,5,3,3,3,3,5,3,3,5,3,1,3,3,3,3,1,3,4,5,5,5,3,5,3,3,5,5,3,4,3,5,3,3,3,3,1
"extremely unselfconscious, extremely relaxed, extremely calm, extremely level-headed and extremely at ease",3,4,3,5,3,3,5,3,4,4,3,2,5,1,4,3,3,3,1,3,3,1,2,5,3,3,4,3,5,3,3,4,4,1,3,3,3,4,2,4,3,2,5,5,3,3,3,2,5,3,3,4,4,1,3,3,4,3,1,4
"extremely level-headed, extremely relaxed, extremely easygoing, extremely at ease and extremely contented",3,4,3,5,3,3,5,3,4,4,3,2,5,1,4,3,3,4,1,4,3,1,3,5,3,3,4,3,5,3,3,4,3,1,3,3,2,4,2,3,3,2,5,5,3,3,1,2,5,3,3,4,4,1,3,3,4,3,1,4
"neither happy nor depressed, neither level-headed nor impulsive, neither calm nor angry, neither contented nor discontented, and neither relaxed nor tense",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"neither unanalytical nor analytical, neither unaesthetic nor aesthetic, neither emotionally closed nor emotionally aware, neither unintelligent nor intelligent, and neither unimaginative nor imaginative",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"very energetic, very assertive, very active, very friendly and very extraverted",5,5,1,5,1,5,5,1,5,5,1,2,5,1,5,1,1,5,4,5,5,4,1,5,1,1,5,1,5,1,1,5,4,3,5,1,2,5,1,5,5,2,5,4,1,5,1,1,5,1,1,5,5,1,1,5,5,2,1,5
"contented, relaxed, calm, happy and  easygoing",4,4,3,5,3,3,5,3,4,4,4,2,5,1,4,3,2,4,2,4,3,2,2,5,3,3,4,3,5,2,3,4,4,2,4,3,2,4,2,3,3,2,5,4,2,3,1,2,4,2,3,5,4,1,3,3,4,3,2,4
"extremely timid, extremely gloomy, extremely introverted, extremely unfriendly and extremely inactive",1,1,3,1,3,1,2,5,1,1,5,2,2,5,1,5,5,2,5,3,1,1,5,1,5,5,2,3,1,3,5,1,3,5,3,5,4,1,5,4,1,5,2,3,3,1,5,2,5,3,5,1,1,5,5,1,1,3,2,1
"very active, very assertive, very extraverted, very talkative and very friendly",5,5,1,5,1,5,5,1,5,5,1,2,5,2,5,1,1,4,4,5,5,2,1,5,1,1,5,2,5,1,1,5,4,3,5,1,1,5,2,5,5,2,5,4,1,5,1,1,4,2,1,5,5,1,1,5,5,2,4,5
"easygoing, level-headed, relaxed, emotionally stable and  patient",3,4,3,5,3,3,5,3,4,4,3,2,5,1,4,3,2,3,2,4,3,1,2,4,3,3,4,3,5,3,3,4,3,2,4,3,2,4,2,4,3,3,5,5,2,3,1,2,4,3,3,5,4,1,3,3,4,2,1,4
"very lazy, very irresponsible, very impractical, very disorganized and very undisciplined",3,3,5,5,3,2,3,5,3,3,3,3,1,4,2,3,3,1,3,3,2,3,5,2,3,5,3,5,3,3,3,2,5,3,3,5,4,1,3,3,1,3,1,2,3,3,3,5,3,3,5,2,1,3,3,3,3,5,4,2
"immoral, self-important, distrustful, unsympathetic and  stingy",2,1,3,1,3,4,1,4,1,2,3,5,1,4,4,3,5,2,4,2,5,5,3,2,2,3,1,4,2,3,2,1,2,2,2,1,5,4,2,4,3,5,1,4,3,3,5,5,4,3,2,1,2,3,3,2,1,5,2,2
"careless, impractical, irresponsible, undisciplined and  extravagant",4,3,5,2,3,3,2,5,4,4,4,4,1,4,2,3,3,1,4,4,2,4,5,2,3,4,3,5,2,4,3,2,2,2,4,4,4,1,3,3,4,4,1,2,3,3,4,5,3,3,4,2,2,3,3,4,3,5,5,4
"a bit self-disciplined, a bit hardworking, a bit conscientious, a bit practical and a bit organized",3,3,4,3,3,3,4,2,4,4,3,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3
"extremely curious, extremely reflective, extremely aesthetic, extremely socially progressive and extremely creative",3,5,2,3,1,3,5,1,4,5,1,2,4,3,5,3,1,3,4,5,3,2,2,4,1,1,4,2,3,1,3,5,3,3,5,4,1,4,3,5,4,2,4,3,1,4,1,1,3,1,1,4,4,3,1,5,4,3,3,5
"a bit uninquisitive, a bit unreflective, a bit unanalytical, a bit artistically unappreciative and a bit unimaginative",3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3
"easygoing, contented, emotionally stable, relaxed and  unselfconscious",3,4,3,5,3,3,5,3,4,4,3,2,4,1,4,3,2,3,2,4,3,2,2,5,3,3,4,3,5,2,3,4,4,2,4,3,2,4,2,3,3,2,4,4,3,3,2,2,4,3,3,4,4,1,3,3,4,3,1,4
"extremely unfriendly, extremely timid, extremely gloomy, extremely inactive and extremely silent",1,1,3,1,3,1,1,5,1,1,5,1,1,1,1,5,1,1,4,3,1,1,5,1,5,5,1,3,1,3,5,1,3,4,3,5,1,1,5,3,1,5,1,3,1,1,5,3,1,3,5,1,1,5,3,1,1,3,1,1
"thrifty, conscientious, self-efficacious, hardworking and  thorough",3,3,1,3,3,4,5,1,4,4,2,2,5,2,4,3,2,5,3,3,3,2,1,4,2,2,4,1,4,1,3,4,5,3,3,2,1,5,2,4,4,2,5,4,2,3,1,1,3,3,1,4,5,1,2,3,3,1,1,4
"irresponsible, impractical, messy, lazy and  careless",3,3,5,2,3,2,2,5,3,3,3,3,1,4,2,3,3,1,3,3,2,3,5,2,3,4,3,5,2,3,3,2,5,3,3,3,4,1,3,3,2,3,1,2,3,3,3,5,3,3,4,2,1,3,3,3,3,5,4,3
"agreeable, altruistic, kind, sympathetic and  honest",3,5,2,4,3,3,5,2,4,4,2,2,5,3,4,3,1,4,3,4,3,2,3,4,3,3,5,3,4,2,3,5,4,3,4,4,1,4,3,4,4,2,5,4,3,3,1,1,3,3,3,5,5,1,3,4,5,3,3,4
"a bit active, a bit extraverted, a bit energetic, a bit bold and a bit assertive",4,3,3,4,3,4,4,2,4,4,2,3,4,3,4,3,2,4,3,4,4,3,2,4,2,2,4,3,4,2,2,4,4,3,4,3,3,4,2,4,4,3,4,4,2,4,2,2,4,3,2,4,4,2,3,4,4,3,3,4
"extremely honest, extremely generous, extremely unselfish, extremely cooperative and extremely trustful",4,5,3,4,3,3,5,1,5,5,3,1,5,3,4,3,1,4,3,1,3,1,3,5,3,3,5,1,4,1,3,5,4,3,4,4,1,5,3,5,4,1,5,4,3,3,1,1,3,3,2,5,5,3,3,4,5,1,3,4
"a bit organized, a bit thorough, a bit responsible, a bit thrifty and a bit orderly",3,3,4,3,3,3,4,2,3,4,3,3,4,3,3,3,2,4,3,3,3,2,3,4,3,3,3,2,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3
"dishonest, unsympathetic, unkind, uncooperative and  immoral",3,1,4,1,5,3,1,5,1,3,3,5,1,5,3,3,5,2,1,3,3,5,3,2,3,3,1,5,3,1,1,5,3,3,1,5,5,2,3,3,3,5,5,3,3,3,5,5,3,5,3,1,2,4,3,2,1,5,3,1
"very emotionally stable, very relaxed, very unselfconscious, very at ease and very calm",3,4,3,5,3,4,5,3,4,4,3,3,5,1,4,4,3,4,1,4,3,1,3,5,3,3,4,3,5,3,3,4,4,1,4,3,3,4,1,4,3,3,5,5,3,3,1,2,5,3,3,4,4,1,3,3,4,3,1,4
"contented, at ease, easygoing, patient and  calm",3,4,3,5,3,3,5,3,4,4,3,2,4,1,4,4,2,3,2,4,3,2,2,4,3,3,4,3,4,2,3,4,4,2,4,3,2,4,2,4,3,2,4,5,3,3,1,2,4,3,3,5,4,1,3,3,4,3,1,4
"a bit cheerful, a bit active, a bit extraverted, a bit friendly and a bit assertive",4,4,2,4,3,4,5,2,4,4,2,2,4,2,4,3,2,4,3,4,4,2,2,4,2,2,4,3,4,2,2,4,4,2,4,3,2,4,2,4,4,2,4,4,2,4,2,2,3,2,2,4,4,2,2,4,4,3,2,4
"a bit disagreeable, a bit unsympathetic, a bit stingy, a bit dishonest and a bit unaltruistic",3,2,3,2,3,3,3,3,2,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,2,4,3,3,3,2,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,4,3,4,3,2,3,3,3,2,2,4,3,3
"spontaneous, reflective, aesthetic, emotionally aware and  intelligent",4,5,2,4,1,4,5,2,5,5,1,2,3,4,5,3,1,2,4,5,3,2,2,4,1,2,4,2,4,1,3,4,3,4,5,3,2,4,3,5,4,2,4,3,1,4,1,2,3,2,2,4,4,3,2,4,4,3,4,5
"extremely unsophisticated, extremely unanalytical, extremely uninquisitive, extremely unimaginative and extremely socially conservative",3,3,3,3,5,3,5,3,3,1,3,3,5,3,1,4,3,5,3,1,3,1,3,4,5,3,3,3,3,5,5,3,4,3,2,3,3,3,3,1,3,5,5,3,5,3,3,3,3,5,5,4,4,3,5,3,3,3,3,1
