,normal_human.ext,old_people.ext,persona_GPT3.5.ext,shape_GPT3.5.ext,persona_GPT4.ext,shape_GPT4.ext,normal_human.agr,old_people.agr,persona_GPT3.5.agr,shape_GPT3.5.agr,persona_GPT4.agr,shape_GPT4.agr,normal_human.con,old_people.con,persona_GPT3.5.con,shape_GPT3.5.con,persona_GPT4.con,shape_GPT4.con,normal_human.neu,old_people.neu,persona_GPT3.5.neu,shape_GPT3.5.neu,persona_GPT4.neu,shape_GPT4.neu,normal_human.ope,old_people.ope,persona_GPT3.5.ope,shape_GPT3.5.ope,persona_GPT4.ope,shape_GPT4.ope
11,0.886471506,0.837527359,0.790770022,0.805083941,0.805145634,0.878953228,0.624689788,0.639858094,-0.259294775,0.711216726,0.683096758,0.907109832,0.583580041,0.85364581,0.83310855,0.896439276,0.903435008,0.933158826,0.76863782,0.514228993,0.602218085,0.449873041,0.337037279,0.789343298,0.566362911,0.694169093,0.033797042,0.58992395,0.573666667,0.905277154
12,0.704570994,0.753551,0.672051119,0.807450134,0.578506207,0.822744893,0.760296337,0.691150773,-0.692228779,0.848136992,0.373477168,0.977006749,0.644669602,0.540663545,0.415798502,0.638692042,0.456428721,0.726835752,0.776352069,0.696718881,0.343216726,0.667707009,0.739394963,0.7670655,0.875020425,0.713902811,0.733010065,0.81244398,0.675539947,0.789952318
13,0.378087844,0.471227689,0.551120437,0.458893811,0.430431226,0.302307141,0.433861258,0.551396104,0.566504174,0.396183872,0.442145227,0.12590718,0.152703511,0.341903575,0.828777391,0.694978913,0.630434638,0.551379401,0.305029905,0.42961614,0.531238293,0.726948787,0.55760198,0.38069599,0.53396794,0.593444662,0.585290862,0.388340308,0.398949508,0.352589685
14,0.304805709,0.336032586,0.55664893,0.30180949,0.240317535,0.376735343,0.696054579,0.856672737,0.998748746,0.698577313,0.453711413,0.309386758,0.456508422,0.434968305,0.338196874,0.543873348,0.345430531,0.257113572,0.485428308,0.3364877,0.710588361,0.513827492,0.380355051,0.364615473,0.51356863,0.394357119,0.997476419,0.4714228,0.685762467,0.215905961
15,0.335291977,0.321914032,0.432360317,0.261682899,0.311978029,0.385555586,0.432544255,0.495996971,0.261244931,0.19183672,0.512599462,0.364901141,0.187930973,0.372433202,0.291632408,0.305500504,0.624491363,0.316181759,0.259763977,0.330022369,0.851413948,0.645645885,0.439247171,0.274746654,0.651388858,0.546980514,0.768545117,0.69937659,0.595702942,0.317374575
16,0.390929617,0.617957206,0.754022881,0.669748101,0.348767137,0.144422584,0.360102083,0.551012499,0.991923806,0.577533675,0.494193521,0.197334931,0.518416232,0.549566126,0.992935468,0.786525958,0.750385925,0.40575249,0.3978514,0.732319236,0.766434577,0.701791959,0.513122453,0.824878245,0.457897125,0.440169231,0.993799882,0.549041258,0.779384023,0.252921753
17,0.477686751,0.562879623,0.460418093,0.797082982,0.494728463,0.080352046,0.312841632,0.501881153,0.593867175,0.258015113,0.258989868,0.102191794,0.47284823,0.597355017,0.789566659,0.683272805,0.63978022,0.427468051,0.482138512,0.590768715,0.627768209,0.443138912,0.831691929,0.479009917,0.612671581,0.853607376,0.961471642,0.645191495,0.210378695,0.387483399
18,0.24367683,0.3289336,0.668957691,0.842078668,0.564916369,0.237800854,0.607420153,0.623737222,0.994424052,0.561990987,0.716742846,0.547381792,0.294836337,0.575054954,0.82665406,0.661346922,0.853567658,0.348220171,0.54379608,0.580653822,0.433157944,0.401675838,0.789909161,0.32412827,0.391102946,0.19541253,0.342086398,0.273608331,0.41425881,0.172209907
19,0.516979978,0.659531836,0.988174762,0.560715315,0.523904189,0.592899497,0.533317254,0.600618078,0.9596799,0.472339547,0.71353291,0.252497226,0.342759431,0.316274327,0.380995442,0.266374917,0.323752597,0.215541458,0.109032115,0.219671762,0.856931384,0.591213628,0.268365653,0.22391265,0.389590455,0.312275432,0.259586187,0.300756903,0.276562973,0.161578545
20,0.521525871,0.490749223,0.998345785,0.70446799,0.789980251,0.437836396,0.309357448,0.325897853,0.314865727,0.239474714,0.29757682,0.047305777,0.479202092,0.55850365,0.587599136,0.188251343,0.267091003,0.086458911,0.097364213,0.148803489,0.928119567,0.570823548,0.143332131,0.120978609,0.616424875,0.688798392,0.998634313,0.535124002,0.85216941,0.303497379
21,0.855147319,0.665883718,0.947292495,0.234919397,0.771663133,0.360453162,0.531548577,0.556863318,0.999940021,0.556214531,0.133923628,0.254901624,0.508235087,0.339160252,0.419888608,0.293733117,0.195345521,0.05203414,0.328376018,0.318059289,0.852869234,0.44475748,-0.129341214,0.25366026,0.440889834,0.482247127,0.594852211,0.27418897,0.622224772,0.366696189
22,0.439990664,0.593851684,0.660418627,0.319390641,0.317203052,0.327983681,0.515712921,0.673835616,0.65529982,0.312569006,0.775802139,0.026361318,0.532264195,0.578021186,0.881882365,0.730387813,0.794813325,0.58053366,0.22308969,0.578138111,0.468597553,0.639438809,0.891468735,0.350035071,0.576698234,0.3131749,0.98030986,0.815121474,0.526771404,0.181294142
23,0.214168269,0.298547923,0.374682773,0.351839847,0.351740509,0.227441223,0.609762669,0.59058162,0.93276622,0.494170768,0.533378819,0.177151752,0.659434336,0.271288831,0.305930143,0.196396625,0.183805187,0.129214606,0.409195901,0.735568543,0.637333378,0.797614247,0.886405873,0.376937158,0.679233053,0.518129271,0.99885776,0.651989733,0.670906555,0.180473275
24,0.503579714,0.432160891,0.548347294,0.348024281,0.665330568,0.323090841,0.42194948,0.522310609,0.520819318,0.280663643,0.860514805,0.045457813,0.584401104,0.707682931,0.827111606,0.592072476,0.791672822,0.471709789,0.397277464,0.514582801,0.882202279,0.55416735,0.453295088,0.411610518,0.234339256,0.490342776,0.462696245,0.339934779,0.54364578,0.375975335
