"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","item61","item62","item63","item64","item65","item66","item67","item68","item69","item70","item71","item72","item73","item74","item75","item76","item77","item78","item79","item80","item81","item82","item83","item84","item85","item86","item87","item88","item89","item90","item91","item92","item93","item94","item95","item96","item97","item98","item99","item100","NA","NA","NA","NA","NA","NA"
4,1,4,3,5,2,4,5,4,4,4,3,3,2,5,5,1,2,4,4,5,3,1,1,4,5,3,4,2,2,3,5,4,3,5,3,4,5,4,3,1,1,5,4,3,3,1,2,4,5,4,5,1,3,5,3,3,3,4,3,5,4,3,3,1,3,3,5,5,2,1,2,3,1,4,3,1,2,4,3,2,2,2,3,5,4,2,4,1,3,4,3,5,3,5,1,3,4,3,4,36,36,53,60,59,64
1,3,4,2,2,5,3,3,5,1,2,2,4,4,5,2,2,2,4,4,4,1,4,3,4,2,4,4,2,4,3,4,4,2,2,2,1,2,4,2,1,2,4,3,3,4,2,3,1,4,2,2,2,3,2,3,2,2,3,4,2,3,4,2,2,3,2,4,4,4,2,3,4,2,2,2,2,2,3,4,4,2,3,4,3,1,2,2,1,2,3,3,4,2,2,2,4,2,4,4,46,34,36,57,49,44
2,4,4,4,4,5,4,5,2,3,4,5,4,2,4,2,3,4,1,4,5,2,4,2,2,5,4,3,3,5,2,5,4,2,4,5,3,4,3,2,2,3,3,4,4,4,4,2,4,4,2,2,2,4,4,3,4,5,4,5,2,4,3,3,4,5,2,3,4,3,2,3,4,4,4,2,2,4,2,4,2,3,4,5,2,4,2,2,4,4,5,4,4,2,2,3,4,2,4,4,64,52,44,55,63,46
4,2,4,4,1,4,4,4,2,4,5,4,3,3,2,3,2,4,4,4,3,1,2,1,4,3,4,2,3,5,5,4,1,4,4,3,4,4,2,4,1,1,4,3,5,1,4,2,4,4,1,2,4,5,5,4,1,3,5,5,2,3,4,3,3,3,4,4,5,2,1,1,5,2,1,2,1,5,5,3,1,4,2,3,1,5,1,2,1,2,4,4,4,2,3,1,2,4,4,4,49,42,43,41,56,62
4,3,4,4,2,3,4,4,4,4,4,4,5,4,2,3,3,4,4,3,3,4,3,3,4,4,4,4,2,4,4,5,4,3,2,4,5,4,4,5,3,3,3,4,2,4,4,4,4,4,3,3,1,4,4,4,2,3,2,5,4,4,3,4,4,3,2,3,2,4,4,3,5,5,2,2,2,5,4,4,3,3,3,5,4,3,4,3,4,4,4,4,4,4,4,4,5,4,4,4,62,47,57,50,62,64
5,4,5,2,2,2,3,2,4,5,2,2,2,5,5,4,5,5,4,3,4,1,2,3,5,4,3,4,2,1,5,2,4,4,1,4,5,4,4,4,4,5,5,4,5,1,4,5,4,3,2,2,4,5,2,2,3,2,5,4,5,4,2,4,4,4,4,4,5,1,4,5,3,2,4,1,5,4,2,3,1,2,4,4,4,2,4,4,4,4,2,2,4,2,2,4,3,4,4,2,61,54,43,59,50,60
1,3,4,4,2,2,2,3,4,2,4,4,3,3,3,4,2,3,4,4,4,3,3,3,2,3,4,3,3,4,4,4,3,3,2,3,3,4,4,3,2,3,4,3,4,3,3,4,3,3,2,3,3,4,4,3,4,2,2,4,4,4,4,3,2,3,3,4,4,3,4,3,4,2,3,3,2,4,4,3,4,2,2,4,3,2,3,2,3,3,2,3,4,2,3,3,3,3,4,3,54,42,45,58,51,50
4,3,4,2,4,1,4,5,5,2,5,3,4,4,3,2,4,3,4,4,5,2,2,2,2,4,5,5,1,3,4,4,4,2,4,5,3,4,4,3,3,2,4,4,4,4,4,3,4,4,1,3,4,2,3,4,2,4,1,3,4,5,4,4,4,4,3,4,5,4,4,3,4,3,4,3,4,3,2,4,4,2,4,3,3,4,4,4,3,2,4,2,4,4,5,3,4,4,4,4,45,56,50,62,62,56
5,2,4,3,5,1,1,5,5,3,3,5,3,4,5,3,3,1,5,5,3,5,1,1,3,3,4,5,3,2,2,3,4,2,5,5,5,5,5,5,4,1,3,5,2,5,2,2,5,5,3,4,4,5,4,5,4,5,4,3,5,2,5,4,1,2,1,5,4,5,1,1,5,3,5,5,1,2,3,5,3,2,3,5,5,3,4,2,2,1,5,3,1,5,2,2,1,1,2,5,39,44,63,61,63,60
5,2,2,4,2,5,4,5,2,3,4,5,4,2,4,4,4,4,4,4,2,4,4,4,5,4,4,4,4,5,2,4,2,4,2,5,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,5,5,5,4,4,2,4,4,5,4,4,4,3,4,2,2,4,4,4,4,3,4,4,4,4,4,5,2,4,4,3,4,5,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,68,61,62,50,61,56
4,2,2,3,3,5,3,3,2,4,4,2,5,2,2,1,4,5,4,4,3,1,4,3,5,2,2,3,2,2,3,3,4,1,4,5,4,3,4,2,4,3,4,4,3,2,3,4,4,3,3,2,2,5,3,2,2,2,4,3,5,4,3,2,4,5,4,5,4,2,1,3,4,1,2,1,1,4,4,2,3,4,2,3,2,4,3,2,4,5,5,2,4,2,2,4,4,3,3,3,61,48,34,46,46,63
2,2,4,5,3,5,5,5,2,5,5,4,5,5,2,4,2,2,4,5,2,5,4,2,5,4,3,5,4,5,4,5,3,4,5,2,5,4,3,5,1,2,4,4,2,5,5,3,3,2,1,4,4,5,5,5,4,4,5,4,3,5,2,2,4,2,4,4,5,4,5,5,5,4,3,5,1,5,4,5,1,4,4,5,5,4,1,4,4,2,5,4,2,5,4,3,4,3,4,1,56,60,70,40,67,68
5,1,5,4,1,4,3,4,3,4,3,5,2,2,4,2,4,5,3,4,4,4,3,3,4,4,5,4,4,5,4,3,4,3,2,5,3,2,3,4,3,4,4,2,2,4,4,4,4,3,3,2,2,5,3,2,4,3,2,5,3,4,2,4,4,4,2,4,3,4,4,3,4,4,4,4,3,4,5,5,4,4,4,5,2,2,3,2,5,5,4,5,3,4,3,5,4,4,4,4,71,51,56,56,51,55
3,5,4,3,2,4,3,5,4,2,5,4,2,3,4,1,1,2,3,5,3,2,1,2,4,5,5,4,2,5,5,4,5,1,5,4,2,4,3,1,1,2,3,5,2,1,1,4,3,5,1,2,2,4,3,2,3,1,5,5,4,4,4,1,1,3,4,5,4,1,4,3,5,5,2,1,2,5,4,4,5,1,5,5,2,3,2,1,1,1,4,4,2,3,1,3,4,4,4,1,56,39,26,53,68,54
4,5,4,4,3,4,1,5,4,5,5,4,4,5,3,5,5,4,5,4,5,4,5,2,5,4,5,5,2,4,3,5,5,5,3,4,5,5,5,5,2,3,5,3,3,4,5,4,5,5,4,3,2,5,5,4,5,4,4,1,5,5,5,5,5,4,3,4,5,1,5,3,5,4,5,3,4,1,4,4,1,3,4,5,5,5,4,5,5,5,5,3,4,4,5,4,5,5,1,5,57,64,65,67,70,69
4,5,5,5,3,4,4,4,4,3,4,3,4,2,2,3,4,2,4,2,3,3,2,2,4,4,5,5,2,4,4,5,4,4,4,4,4,4,2,5,3,1,4,2,5,5,3,4,3,5,1,2,5,2,2,3,3,3,4,4,4,4,2,3,4,1,5,3,4,2,3,3,4,4,1,2,2,5,3,4,4,1,5,2,5,3,2,4,3,1,2,3,2,2,2,2,4,4,5,5,44,53,52,49,57,60
4,2,3,4,4,4,4,4,4,2,4,4,2,2,4,4,5,4,2,2,4,2,4,4,2,4,2,4,4,2,4,4,2,2,4,4,2,2,4,4,4,2,4,4,2,3,4,4,4,2,2,2,4,4,2,2,4,2,2,2,2,2,4,4,4,2,2,4,3,2,4,2,4,2,2,2,3,2,2,2,4,2,4,4,2,2,2,4,3,2,2,2,2,3,4,2,4,3,4,4,48,61,46,48,42,44
2,3,3,4,4,4,4,5,2,2,5,3,3,2,3,2,2,2,4,3,3,3,1,3,4,3,2,3,3,3,3,4,2,1,4,4,3,2,4,4,3,2,4,3,3,4,4,4,3,4,2,3,2,4,4,2,3,1,2,3,3,5,2,3,4,4,3,5,4,3,5,3,2,3,2,2,4,3,4,2,2,1,4,3,2,4,3,4,3,2,4,2,2,2,2,3,4,4,2,3,50,52,42,42,52,52
2,2,4,4,4,4,2,2,4,2,4,4,3,2,1,4,3,4,2,2,4,4,4,2,2,3,3,2,4,5,3,2,2,2,4,3,2,4,2,2,2,2,4,3,2,4,3,2,5,3,2,1,4,5,4,3,4,2,1,4,3,4,3,3,4,2,4,3,4,4,3,4,4,4,1,2,2,5,3,4,2,4,4,3,2,3,2,2,2,2,2,2,4,4,3,3,4,4,3,4,54,51,46,44,46,47
2,5,3,3,3,3,3,4,2,2,4,4,3,4,2,3,3,2,4,4,4,3,2,2,4,4,3,4,3,4,3,5,3,3,2,4,2,4,3,3,2,3,4,4,3,4,4,3,4,4,3,2,4,4,3,2,3,2,3,5,3,4,2,3,2,3,4,4,4,3,4,2,3,3,3,3,2,4,3,4,4,2,4,4,2,4,2,3,2,2,3,4,4,3,2,2,4,4,4,4,51,46,46,48,63,50
4,4,4,5,3,3,1,3,5,2,5,5,1,5,5,3,4,4,3,3,5,1,4,3,3,4,4,5,5,5,3,5,4,1,5,5,3,5,3,1,5,5,3,4,3,4,4,5,3,5,3,3,4,5,1,5,4,1,2,5,1,5,5,1,4,5,1,3,4,4,5,5,4,5,4,5,5,5,2,5,3,1,5,5,2,2,4,2,4,5,3,3,4,1,5,5,5,4,5,5,75,69,40,64,66,38
4,1,3,3,4,3,2,4,2,2,5,3,4,4,2,2,3,3,4,2,4,1,3,4,4,4,3,4,3,4,1,2,3,2,4,4,5,4,3,2,2,4,4,4,1,3,4,4,4,2,2,2,4,2,2,1,4,2,5,5,4,5,4,2,4,3,5,1,2,3,4,5,3,2,1,2,2,5,1,5,4,3,5,5,5,5,1,2,3,3,4,2,3,2,4,4,5,3,1,4,61,59,37,42,48,56
4,3,3,5,4,3,3,3,5,4,4,5,3,3,4,4,3,3,3,4,5,5,4,1,3,3,4,5,4,4,2,4,4,3,2,5,3,3,4,3,1,3,4,4,4,4,3,3,4,2,3,4,4,5,5,5,3,3,2,4,5,4,3,3,4,4,4,2,5,5,1,2,4,3,3,5,2,4,5,3,3,4,5,5,3,2,2,4,3,3,2,2,4,3,3,4,4,4,3,3,58,49,64,59,50,57
5,2,5,5,4,3,5,5,4,3,2,5,5,5,2,3,1,4,5,5,5,4,4,2,5,5,5,3,2,3,5,5,5,4,5,5,5,3,5,2,2,3,5,5,5,5,3,5,5,3,4,4,3,4,5,5,5,3,5,5,5,5,5,3,1,5,5,5,5,5,1,5,5,3,5,5,4,2,5,5,5,1,5,5,4,1,2,3,2,4,5,5,5,5,2,3,5,4,5,5,63,46,58,72,67,79
3,3,2,2,2,2,3,4,3,2,4,2,4,4,4,4,4,2,4,3,3,2,4,4,2,4,2,4,3,2,4,4,2,3,4,2,4,2,4,4,3,4,3,3,2,2,3,3,4,4,2,3,3,2,3,2,4,3,4,2,3,4,3,4,4,2,4,4,4,2,2,2,3,2,3,2,3,4,3,2,3,2,2,2,4,4,4,2,2,3,3,4,4,3,2,3,4,4,3,2,41,49,44,49,53,54
4,2,5,2,2,2,4,4,4,4,2,2,4,2,4,4,4,2,4,3,4,5,2,4,5,2,5,5,2,4,4,2,4,3,2,4,5,2,5,4,4,1,5,3,4,5,4,5,5,2,2,4,2,4,2,4,5,2,2,2,4,2,4,4,4,2,4,4,4,5,4,4,5,2,5,2,2,4,5,4,3,4,2,4,2,1,4,4,2,5,4,2,4,4,4,4,3,4,5,5,53,44,61,66,41,66
4,1,4,4,4,2,2,2,5,4,4,5,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,4,1,2,4,2,4,4,4,2,4,3,4,4,4,2,2,3,4,4,2,2,2,4,2,4,2,2,2,2,4,4,4,2,3,2,2,4,4,4,4,4,5,4,4,2,4,4,4,4,2,4,2,2,4,4,2,2,2,4,4,4,4,2,4,4,4,4,4,3,5,4,63,61,52,54,37,51
5,4,3,1,1,5,3,5,2,5,5,5,5,5,1,5,1,3,5,4,1,4,2,5,5,3,5,5,1,5,3,5,5,5,5,5,5,5,4,3,1,5,5,3,1,4,4,5,5,3,1,3,1,5,5,5,5,5,5,5,5,2,5,3,1,2,3,3,3,1,5,3,5,2,3,1,4,5,5,5,5,1,5,5,5,4,3,3,3,5,5,1,2,3,3,5,5,5,5,1,73,47,52,49,59,74
4,2,2,3,2,5,4,4,4,2,4,4,5,4,4,1,3,4,3,2,2,2,4,4,4,4,2,4,3,4,4,3,3,1,4,4,4,2,3,1,5,5,4,3,2,2,5,5,5,2,2,3,4,4,4,2,3,2,5,5,5,4,3,1,4,5,4,3,3,2,4,4,5,2,2,3,2,4,5,4,3,1,4,5,4,4,2,1,2,4,3,2,1,2,5,5,4,4,4,4,71,60,31,41,47,67
3,4,4,4,4,5,3,3,2,3,2,5,3,3,2,2,2,4,4,4,3,3,1,4,2,3,4,2,2,5,3,3,3,2,2,3,3,4,3,3,4,4,4,3,3,4,4,4,5,4,3,1,1,5,4,3,4,3,3,5,3,4,1,3,4,5,2,3,4,4,3,2,3,2,3,2,3,3,4,4,2,3,4,5,2,2,3,3,2,3,3,3,4,4,3,3,4,4,4,4,65,44,46,48,52,51
2,5,4,4,4,5,4,5,1,4,5,1,5,4,2,1,2,5,5,3,2,2,5,2,5,2,5,4,1,4,4,2,4,1,5,5,5,5,5,1,2,3,5,2,1,2,5,5,5,5,2,2,2,5,4,2,1,4,1,3,4,4,4,1,4,2,4,1,2,1,5,2,5,4,4,1,4,5,3,5,4,3,4,2,4,4,4,2,4,4,4,4,4,2,2,4,2,5,5,4,57,55,35,49,57,68
5,4,5,4,2,4,5,5,4,5,4,2,5,3,1,4,2,4,5,4,1,3,5,5,1,5,5,3,4,4,3,4,5,5,4,2,5,4,1,3,2,3,5,1,4,4,5,5,5,5,5,2,4,2,5,4,5,5,5,2,5,3,2,2,1,3,3,1,2,5,3,5,5,5,5,2,5,5,5,5,3,4,4,5,4,3,4,4,2,1,5,3,2,5,5,5,5,5,5,5,57,57,60,54,59,71
4,5,2,5,3,4,1,4,3,5,3,5,5,4,2,4,4,3,5,4,3,4,4,2,5,4,2,4,3,5,4,4,3,5,4,5,4,4,4,4,2,3,5,4,2,4,4,3,3,5,2,4,2,5,4,4,4,3,2,5,5,3,3,4,4,3,4,2,3,4,4,3,4,4,2,5,4,2,3,5,2,4,4,5,4,5,2,4,4,3,4,3,2,3,5,3,4,4,5,5,59,56,66,41,64,64
4,1,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,2,2,3,4,4,4,4,4,2,4,4,4,2,4,5,4,4,4,2,4,2,4,4,5,4,4,4,5,2,2,2,4,4,4,4,4,5,2,2,4,4,2,4,4,2,4,4,5,2,4,4,4,4,4,4,2,2,4,4,2,2,4,2,2,2,2,2,4,2,4,4,4,2,2,2,2,5,5,5,48,56,47,59,57,63
3,2,2,3,2,3,2,4,3,4,4,4,3,4,2,4,3,2,3,3,4,2,5,3,4,4,3,5,4,4,4,4,3,3,2,5,2,5,3,3,4,3,2,2,2,3,5,4,4,4,2,3,2,4,3,3,2,2,4,4,2,4,2,3,2,4,3,3,4,4,3,4,4,3,3,4,4,4,3,4,2,2,4,3,2,2,2,4,3,4,2,4,3,4,4,3,4,3,2,4,58,55,53,42,55,46
4,2,4,4,2,3,4,3,3,3,4,4,3,2,2,2,2,4,4,4,5,3,2,4,2,3,4,4,2,4,2,4,4,2,1,4,3,4,4,4,2,3,5,2,4,5,4,5,5,1,2,2,2,4,4,4,4,4,2,4,3,4,2,2,2,4,4,4,5,4,4,3,4,4,4,5,2,4,1,3,4,2,3,4,2,4,3,3,2,4,5,2,4,2,3,4,4,3,4,2,62,39,51,58,50,55
3,2,4,4,2,3,2,5,4,4,4,5,5,3,2,2,3,4,3,3,4,4,4,5,4,2,4,4,1,5,3,5,4,3,3,5,4,2,4,3,3,4,4,3,4,4,4,4,4,2,2,4,2,5,1,4,4,3,1,5,4,2,3,3,2,3,2,4,4,4,4,4,4,2,4,4,4,5,1,4,4,2,3,5,4,2,4,3,2,4,4,2,4,3,4,5,4,3,5,5,71,46,54,59,47,52
3,2,4,1,4,3,2,4,4,3,5,5,4,3,3,2,4,3,4,3,3,2,4,3,3,3,3,3,3,4,2,4,4,2,2,3,3,3,3,2,3,4,3,3,2,2,3,4,3,2,2,2,3,4,1,3,4,3,5,4,4,3,3,2,2,3,4,3,3,2,3,2,4,2,2,1,3,4,4,3,4,3,4,4,3,3,3,3,2,2,3,2,3,2,3,4,4,4,3,4,56,53,35,50,46,50
3,4,5,3,4,3,4,4,2,4,4,5,3,4,2,3,4,2,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,2,4,5,4,4,4,4,4,3,4,4,4,4,4,4,3,2,2,4,3,4,4,4,4,4,2,4,4,4,5,4,3,3,3,4,2,4,4,4,3,4,2,3,4,3,3,4,2,4,4,3,4,3,5,2,3,3,4,4,2,4,3,5,5,4,4,55,58,54,57,60,57
2,3,2,2,1,2,4,4,2,2,5,4,1,5,1,1,5,4,2,5,2,2,5,4,4,4,2,4,4,4,2,5,2,2,5,5,4,4,2,4,5,4,2,4,2,2,4,4,4,2,2,2,4,2,4,4,2,2,4,4,4,4,2,2,5,4,2,2,2,2,5,4,2,4,2,1,2,2,2,4,2,1,5,4,4,2,4,2,5,5,5,5,2,2,5,5,5,5,4,4,61,69,33,33,61,48
4,1,2,2,2,2,3,4,4,3,4,4,5,2,2,3,4,4,4,3,4,3,4,4,4,2,2,4,3,3,2,3,4,2,2,4,5,2,4,4,4,2,3,2,4,4,4,3,4,2,1,4,3,4,3,4,4,2,4,4,4,3,4,5,5,2,4,3,4,4,3,4,4,2,2,2,4,4,4,4,4,2,5,2,4,2,2,4,4,4,4,2,3,3,4,1,4,4,5,4,51,59,51,50,41,61
5,4,1,3,2,2,3,4,2,5,5,2,4,3,2,3,5,2,4,4,1,3,4,4,5,4,2,4,3,2,5,4,2,2,4,3,4,4,4,3,5,2,4,4,1,3,4,4,4,2,2,3,3,2,2,3,2,3,2,2,5,3,2,3,4,4,3,3,2,2,4,3,4,2,2,2,4,2,2,3,2,1,5,2,4,3,2,3,4,2,3,4,2,2,5,4,4,4,2,4,42,63,45,31,54,61
5,4,5,3,2,2,4,5,2,4,4,3,5,4,2,1,2,2,5,4,1,4,5,3,2,2,5,4,1,4,4,4,5,3,2,4,5,3,2,4,1,1,4,1,2,4,4,2,2,3,4,5,2,5,5,4,3,2,2,4,4,4,4,4,5,1,3,2,4,3,4,4,4,3,2,1,2,3,4,2,4,1,4,3,5,3,2,2,2,3,5,1,2,2,1,3,5,5,4,1,47,43,47,49,49,66
4,4,2,4,2,2,5,5,3,4,4,3,4,4,4,3,4,2,4,4,4,4,1,2,4,5,4,4,2,4,3,3,4,4,2,4,4,5,3,3,2,2,3,4,2,4,4,4,4,4,1,5,2,4,5,3,4,4,2,2,4,3,4,3,4,2,2,2,4,3,4,4,5,3,2,5,2,4,4,5,3,3,4,5,4,3,3,4,4,2,4,4,3,4,4,5,4,5,4,4,51,47,61,50,61,63
4,4,4,4,2,2,2,4,2,4,4,5,4,4,2,3,4,2,4,3,2,3,2,2,4,4,4,3,2,4,4,4,4,4,2,4,4,4,4,2,2,2,3,2,4,4,4,4,4,2,3,4,2,4,3,4,4,3,4,4,5,4,4,2,4,4,4,2,4,3,2,2,5,2,4,1,2,4,4,4,2,2,4,4,4,4,4,3,4,2,4,2,3,4,2,2,4,4,2,2,51,46,49,54,53,62
4,2,4,4,2,2,1,4,4,4,2,4,5,2,2,2,4,3,4,3,4,2,1,2,2,2,4,4,2,4,4,2,4,3,2,4,5,4,4,4,4,1,4,4,4,4,4,4,4,2,2,3,2,4,1,2,4,3,1,4,4,2,4,4,4,1,3,2,4,4,4,4,4,2,4,2,2,4,1,2,2,2,2,4,4,1,2,3,5,5,4,1,4,4,2,4,4,2,5,4,54,43,52,56,37,54
4,4,4,4,2,2,4,5,3,3,3,2,2,4,3,4,3,1,2,3,2,4,3,1,5,5,3,4,2,2,4,4,2,3,3,4,4,4,3,5,1,1,4,2,2,3,2,2,4,5,2,3,4,4,2,3,2,3,4,3,4,4,3,3,4,1,4,2,2,3,4,1,3,5,2,4,3,2,4,2,2,2,4,4,4,4,2,4,1,1,5,4,2,4,3,1,4,4,1,3,32,46,56,39,60,59
4,4,4,4,2,2,4,5,5,3,5,2,4,4,2,4,2,4,4,3,4,2,4,4,4,3,3,4,2,2,4,5,4,2,5,5,5,5,1,4,3,4,5,4,4,2,5,4,5,5,2,4,2,2,4,4,4,2,5,4,4,4,4,5,3,5,2,2,4,3,4,4,5,5,3,4,2,3,4,4,4,2,4,3,5,5,4,4,3,4,5,3,3,2,5,5,5,3,5,5,57,56,51,55,65,68
