"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
34,44,42,29,40
37,40,44,34,42
38,50,47,26,46
42,51,58,24,41
37,43,47,30,35
13,41,24,43,22
28,45,33,40,19
37,59,52,28,42
48,50,47,26,47
39,45,50,28,33
40,49,58,21,37
36,58,49,30,43
32,12,33,41,16
43,48,60,22,28
41,51,46,28,47
21,44,41,35,32
39,45,60,26,39
30,30,34,59,36
35,48,44,26,40
40,43,59,24,34
37,49,38,32,44
40,47,59,25,35
36,36,36,36,36
43,58,50,28,30
15,46,40,33,35
32,45,25,33,35
16,45,41,40,40
13,41,31,38,32
36,60,51,32,37
55,49,46,22,52
32,45,45,45,41
35,55,46,33,42
38,55,48,30,44
35,43,42,28,40
39,58,48,26,45
39,47,54,26,37
42,47,24,35,49
28,38,25,58,39
35,28,30,36,37
32,13,31,36,34
33,50,44,29,15
36,50,47,29,44
29,40,41,35,17
25,41,39,31,22
24,43,35,40,35
24,41,37,55,34
31,46,44,27,29
39,44,56,32,40
34,12,22,44,33
31,42,14,37,44
37,55,50,27,45
56,50,51,23,50
58,55,42,19,51
40,47,28,31,45
23,40,44,32,20
34,53,51,16,37
36,47,47,30,43
29,43,25,35,42
56,54,48,23,48
28,19,30,37,34
13,46,35,47,34
48,53,39,29,50
38,45,29,34,47
35,35,26,57,37
19,42,50,36,13
39,59,49,27,44
37,58,53,29,42
12,43,36,45,34
30,45,45,46,43
39,49,54,23,35
21,49,36,41,38
40,45,55,24,35
55,47,47,24,49
35,15,32,31,36
58,53,47,24,50
37,46,52,30,36
58,45,46,23,49
