"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
12,13,12,17,18,13,18,18,16,15,9,6,14,10,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
16,8,15,13,8,14,4,5,4,17,15,18,12,11,14
10,12,8,16,17,16,13,15,14,8,8,7,12,14,16
8,6,15,20,20,20,14,17,19,9,7,6,17,16,13
20,20,20,19,19,19,13,20,10,8,4,11,17,18,20
12,8,11,7,6,4,5,9,5,20,19,20,7,8,10
18,16,19,19,20,18,11,17,14,8,7,10,17,17,16
12,7,12,12,10,14,4,5,4,17,17,18,13,11,14
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9,6,5,12,13,12,4,4,4,15,17,17,10,10,9
10,8,9,13,14,10,12,12,13,12,13,9,8,6,6
16,8,14,10,8,12,4,4,4,11,16,17,8,13,14
7,8,8,9,20,8,19,15,18,14,10,6,8,8,8
11,13,17,20,20,18,9,12,7,15,7,13,16,16,20
11,20,6,4,4,4,7,12,4,14,8,18,5,4,7
5,6,6,8,14,8,14,8,14,16,16,9,7,8,6
8,6,8,9,16,8,12,9,14,12,13,12,8,8,8
5,5,5,8,8,6,4,8,4,20,20,20,10,9,10
6,5,5,8,11,8,8,7,9,17,17,15,8,8,6
12,20,9,4,4,4,5,8,4,12,12,16,6,4,8
14,17,13,20,20,20,18,19,19,4,4,4,15,16,16
12,14,10,17,18,14,18,18,16,8,8,6,12,10,12
12,14,14,17,18,14,17,17,16,10,8,7,14,12,13
8,10,15,20,20,20,16,17,20,8,5,6,16,17,14
4,6,4,8,12,9,10,7,10,16,16,13,7,8,6
11,20,9,4,4,4,7,10,8,11,14,19,6,5,11
20,20,20,20,20,20,13,20,14,8,4,9,19,20,20
11,10,15,18,20,16,14,16,16,9,8,8,16,16,16
16,17,18,20,16,15,10,12,9,9,7,10,20,20,20
13,16,13,15,17,16,15,17,16,13,8,6,20,20,20
5,6,5,10,9,6,7,8,8,20,20,20,9,8,8
14,15,9,6,8,7,8,10,8,16,12,16,7,8,10
11,12,11,17,16,16,16,16,16,8,8,7,14,14,16
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
8,9,14,20,20,20,14,16,19,10,6,6,16,17,13
13,19,19,18,20,17,20,20,20,8,4,4,17,13,14
12,11,12,16,18,13,18,17,16,9,9,6,13,10,12
5,6,4,9,15,11,8,4,10,16,18,14,7,9,6
10,11,11,10,10,11,8,10,10,14,16,14,5,5,8
13,13,17,20,20,20,15,19,19,8,5,5,18,16,16
18,17,20,19,19,17,12,18,12,8,6,10,17,17,17
13,16,13,16,20,14,20,20,20,8,5,4,13,10,12
13,17,15,19,20,18,20,20,20,7,4,4,19,15,15
8,6,14,20,20,20,14,16,20,10,8,6,17,17,13
12,16,5,4,4,4,12,13,12,12,8,19,8,4,16
14,20,17,16,20,14,20,20,20,8,4,4,15,11,14
13,9,14,18,19,17,11,14,16,11,11,14,17,17,17
4,4,5,9,16,11,12,8,14,17,16,13,6,8,6
13,19,17,18,20,18,20,20,20,8,4,4,18,13,14
8,6,5,7,6,8,4,6,5,20,20,20,9,8,9
12,14,14,20,20,20,17,16,18,5,4,4,17,16,16
11,19,17,15,19,14,20,20,20,8,5,4,10,11,13
12,10,12,18,17,16,12,12,10,11,7,13,19,19,18
12,14,14,17,20,15,20,20,20,8,6,4,15,11,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,9,8,7,11,6,12,9,14,10,12,7,5,5,5
4,5,4,12,16,12,11,5,14,14,16,9,6,9,6
11,7,7,10,10,13,4,4,6,13,15,16,9,11,9
4,4,4,10,18,11,8,6,11,18,20,14,8,10,6
5,4,4,9,13,12,8,4,10,13,17,12,7,9,7
11,9,19,20,20,20,18,19,20,6,5,5,20,18,14
20,20,20,16,18,18,14,20,10,8,4,9,16,18,20
9,7,6,8,8,8,9,10,8,20,16,16,10,8,8
9,5,17,20,20,20,14,16,19,6,5,5,18,18,15
10,5,16,20,20,20,17,17,19,6,5,5,18,16,15
16,12,16,16,16,16,14,16,14,8,8,8,16,16,16
14,12,17,20,20,20,14,17,19,7,5,7,18,19,16
12,16,14,16,20,16,20,20,20,7,4,4,16,10,12
15,7,19,14,7,19,4,4,4,18,18,20,12,19,16
8,5,13,8,6,4,4,9,4,20,20,20,10,12,10
13,16,9,7,8,6,8,8,8,14,10,16,10,7,11
16,20,12,4,4,4,8,16,9,12,8,16,5,4,12
7,8,8,8,12,11,10,10,12,10,12,9,4,4,4
11,12,13,18,20,18,15,16,16,8,8,8,16,16,16
15,13,13,9,11,9,11,12,14,13,9,12,5,6,5
6,8,8,8,12,9,9,9,12,13,13,10,8,8,8
6,6,6,13,18,11,8,7,9,17,17,16,9,9,6
5,5,5,8,8,5,7,9,9,20,20,20,10,8,8
9,8,9,9,16,8,16,12,14,13,12,8,8,8,8
12,13,14,18,20,15,20,20,20,10,6,4,15,13,12
12,20,10,4,4,4,8,8,8,8,12,16,4,4,8
15,7,8,12,9,14,4,4,4,13,15,14,9,13,10
8,9,13,20,20,20,13,15,18,11,8,8,17,13,15
20,20,20,20,20,20,14,20,13,5,4,9,17,20,20
20,20,20,19,18,18,10,20,8,8,4,14,17,20,20
16,8,14,14,10,16,4,8,7,14,15,16,12,14,14
8,8,6,5,16,4,20,15,20,12,13,5,4,4,4
10,9,8,20,20,20,18,19,19,4,4,4,17,15,16
11,10,14,18,20,16,15,16,16,9,8,8,16,15,14
11,7,8,14,14,13,6,8,8,15,15,16,12,13,12
20,20,20,20,20,20,14,20,13,7,4,10,17,20,20
16,20,11,4,4,4,8,9,8,14,10,15,8,5,20
4,4,4,14,18,11,10,5,13,19,19,17,8,12,6
13,15,19,20,11,16,13,11,8,9,7,13,20,16,20
13,9,8,14,14,14,4,8,6,11,15,16,10,14,12
12,7,12,7,5,5,5,8,4,20,20,20,10,9,10
7,10,6,7,20,6,19,16,19,12,10,4,4,5,4
11,6,17,20,20,20,15,18,19,7,5,5,18,19,13
10,12,15,20,20,20,16,18,19,9,6,6,17,17,15
8,4,8,4,12,12,8,4,12,8,20,12,4,5,8
7,8,6,10,8,8,8,8,8,18,18,17,9,9,8
12,15,14,16,20,16,20,20,20,7,4,4,15,10,12
4,4,5,9,15,9,8,5,7,19,20,17,6,8,6
11,14,16,17,19,13,20,20,20,12,7,4,6,11,12
20,20,20,16,17,16,13,20,10,10,4,11,18,18,20
16,20,12,4,4,4,4,17,4,8,8,8,12,5,16
20,20,20,16,19,20,13,20,15,12,4,14,16,19,20
12,13,12,17,18,14,18,18,16,15,8,6,14,12,12
20,20,20,17,12,15,13,20,10,12,4,16,17,18,20
12,15,12,15,17,16,13,16,16,14,8,7,20,16,20
9,11,12,18,19,16,14,13,16,15,9,10,20,19,13
10,10,13,20,20,18,12,15,16,10,8,9,16,16,16
11,10,10,11,13,11,13,11,13,12,12,9,4,4,4
6,5,7,5,17,6,20,11,19,11,12,4,4,4,4
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,11,10,14,15,16,10,13,10,13,8,10,19,18,14
4,4,4,8,15,7,8,4,14,18,19,15,8,7,6
8,10,15,20,20,20,16,18,20,9,6,6,18,17,15
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4,4,4,14,18,12,8,4,12,19,18,11,7,10,6
12,15,15,17,20,15,20,20,20,9,5,4,14,11,12
20,20,20,17,14,19,9,20,9,12,4,15,17,18,20
11,9,9,5,10,8,10,11,14,13,14,11,5,4,4
10,10,16,17,13,16,10,11,9,14,7,17,17,20,18
8,7,5,6,7,4,5,7,6,20,20,20,8,6,8
12,6,6,11,8,14,4,4,4,9,15,17,9,9,10
10,11,9,5,12,10,11,10,12,13,12,6,4,4,4
9,7,14,7,6,4,4,8,4,20,19,20,10,7,12
11,14,9,18,18,16,14,16,16,8,7,7,16,15,16
18,16,18,19,20,19,12,17,14,8,6,10,14,17,16
13,14,10,5,5,4,4,13,4,20,20,16,11,6,14
10,7,8,14,15,14,6,8,8,15,15,16,9,12,9
14,10,17,20,20,20,16,19,20,7,5,4,19,19,16
14,16,10,6,6,5,9,13,6,12,11,17,10,7,17
15,6,8,12,9,15,4,4,4,11,14,18,10,10,15
10,12,14,18,18,17,14,16,16,11,8,8,16,16,16
4,5,6,12,18,11,10,8,12,18,17,14,10,9,7
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,11,15,17,19,16,11,13,11,12,7,13,19,18,17
10,7,7,12,12,12,11,12,13,12,13,12,4,4,4
11,10,11,12,11,11,11,12,12,11,12,14,6,8,6
12,12,11,4,4,8,10,17,6,9,8,7,8,4,15
14,13,16,16,16,19,12,14,10,12,13,10,20,20,20
4,6,6,8,13,8,8,8,8,17,17,16,9,8,6
12,15,17,12,17,15,15,16,14,12,10,10,20,16,20
20,20,20,19,16,20,14,20,16,8,4,7,19,20,20
11,17,8,7,8,7,7,12,8,14,12,14,8,6,11
12,13,11,16,20,14,20,20,20,8,6,4,10,10,12
12,20,9,4,4,4,7,6,8,11,9,19,10,5,20
8,5,9,9,13,9,11,11,13,12,16,11,4,5,8
12,12,12,16,18,13,16,17,16,10,8,7,14,12,12
11,9,8,4,4,4,7,9,12,12,14,18,4,5,11
9,16,6,4,4,4,8,11,5,12,12,14,5,4,10
12,6,7,9,8,14,4,4,4,11,15,17,8,9,9
8,10,9,8,16,10,14,13,13,11,12,11,4,4,4
15,11,12,20,20,20,15,15,18,4,4,4,18,13,16
11,8,8,20,20,20,18,16,18,4,4,4,15,15,16
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
20,20,20,20,18,19,14,20,13,10,4,11,19,19,20
13,8,12,20,20,20,16,16,17,4,4,4,12,16,16
4,4,4,6,13,5,8,4,11,20,20,17,7,8,6
20,20,20,20,19,19,14,20,16,10,4,7,19,18,20
8,13,9,20,20,20,18,17,19,4,4,4,16,15,16
11,6,5,12,9,13,4,4,4,11,16,17,6,10,12
12,16,7,4,4,4,8,15,4,15,9,16,8,4,12
19,11,17,11,7,16,4,4,4,12,15,20,11,13,19
12,14,13,17,18,14,18,17,16,10,8,7,14,12,12
11,12,19,16,20,17,12,12,10,14,11,16,20,20,20
12,11,10,12,12,13,11,12,12,12,12,12,8,8,8
12,9,11,18,20,20,14,16,15,5,5,4,13,15,16
4,6,4,6,13,6,6,5,11,19,20,15,6,7,6
12,14,14,18,20,16,20,20,20,11,6,6,17,13,14
13,6,6,8,7,13,4,4,6,12,15,19,7,10,13
12,10,14,20,20,20,14,17,18,10,7,6,17,17,14
17,17,18,17,15,16,12,20,12,12,8,10,18,16,16
13,14,17,20,20,20,16,19,19,6,5,5,19,17,17
12,10,12,17,18,14,17,17,16,10,8,7,14,12,12
13,20,8,4,4,4,4,11,8,11,12,19,4,6,9
14,12,11,20,20,20,18,19,18,4,4,4,17,14,16
8,8,8,20,20,20,17,16,18,4,4,4,16,15,16
16,16,17,17,16,16,12,16,14,8,8,8,16,16,16
12,15,10,6,8,6,10,12,8,13,13,9,10,7,12
15,10,16,15,16,16,12,13,7,15,6,14,14,20,16
7,9,9,9,13,11,12,12,14,13,9,10,4,4,4
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4,6,6,9,15,10,10,8,12,17,18,14,10,9,6
7,7,7,11,12,8,8,8,8,19,17,19,11,8,9
9,10,10,12,14,11,14,11,13,14,13,12,4,4,4
12,16,4,4,8,4,9,16,12,8,8,7,4,4,16
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,6,15,20,20,20,17,18,18,8,5,5,16,18,16
12,12,12,16,16,16,16,16,14,8,8,8,14,16,16
11,8,9,12,16,11,12,12,13,12,13,12,8,8,8
11,8,8,14,16,16,8,8,8,15,15,16,11,14,11
4,4,4,11,18,11,8,5,13,14,17,13,7,8,6
13,12,17,20,20,20,16,18,19,7,5,6,18,18,16
12,20,4,4,4,4,4,8,4,11,12,15,4,4,9
20,20,20,19,19,19,12,20,10,6,4,9,16,18,20
20,20,20,20,20,20,14,20,16,6,4,8,16,17,19
7,5,6,6,5,4,5,8,6,20,20,20,12,7,9
4,4,4,10,18,6,14,4,16,20,20,17,4,5,4
8,12,12,20,16,19,12,13,15,12,8,13,20,16,14
11,14,11,20,20,20,18,18,19,4,4,4,16,15,16
14,9,13,14,13,12,6,8,12,13,16,15,5,6,6
4,5,5,13,18,12,12,5,15,17,17,13,7,9,6
12,8,17,20,20,20,18,19,20,8,5,5,18,18,15
8,5,16,20,20,20,16,19,20,6,5,4,18,19,14
14,20,20,18,20,19,20,20,20,7,4,4,20,15,20
