"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
42,42,40,36,45
40,38,39,36,40
36,36,38,36,36
36,46,36,36,38
36,36,36,36,37
40,49,44,34,41
36,40,37,38,53
36,36,36,36,38
36,42,39,36,40
32,41,42,35,39
36,41,35,36,41
41,36,38,36,37
51,54,47,20,43
43,54,46,21,48
38,36,36,36,42
36,38,38,36,36
37,36,36,36,34
36,36,36,37,47
37,42,38,36,42
36,36,36,36,38
43,49,49,31,42
43,42,36,36,38
36,36,36,36,36
39,36,36,36,43
36,36,36,36,36
37,47,43,35,43
36,38,36,36,44
39,41,37,36,44
40,40,41,36,50
36,36,36,36,41
36,36,36,36,36
38,41,38,36,45
37,38,38,36,42
36,36,36,36,37
37,36,41,36,46
38,41,54,32,50
37,36,36,36,39
36,36,36,36,36
37,36,36,36,39
36,48,55,35,36
37,36,36,36,38
37,36,38,37,36
36,36,36,36,36
37,41,36,36,42
36,38,37,36,38
36,36,36,36,36
37,37,41,36,36
36,38,40,34,36
36,36,37,39,37
36,36,38,36,36
36,36,38,36,40
36,36,39,36,36
36,46,38,36,37
27,36,24,36,37
39,36,36,36,39
43,40,36,36,36
39,40,38,36,36
40,36,36,36,39
41,41,43,36,51
40,50,46,36,40
29,36,33,36,44
43,38,41,35,41
36,36,34,39,39
43,36,44,34,38
36,40,37,36,45
36,36,36,36,41
39,36,36,36,41
41,37,45,35,36
25,39,36,37,36
43,43,43,35,43
36,36,36,36,36
37,41,36,36,38
36,36,36,36,43
36,36,36,36,36
41,46,44,34,40
37,40,38,30,38
36,36,36,36,38
28,37,35,36,45
38,36,35,36,38
32,48,49,37,38
43,49,52,32,38
38,36,38,35,38
39,36,36,36,42
43,42,36,36,38
36,36,36,36,36
36,36,36,36,39
36,36,36,36,36
40,42,36,36,42
41,41,37,36,45
36,38,36,39,36
45,46,40,34,49
39,48,55,35,40
40,42,37,36,41
47,36,39,35,44
43,36,41,36,37
36,36,36,36,36
34,36,36,38,39
37,36,36,36,36
34,35,36,38,37
38,36,36,36,43
45,36,35,36,39
38,42,38,35,50
36,36,40,36,36
36,38,36,35,38
36,36,36,36,38
37,46,42,36,36
36,36,38,36,38
36,36,36,36,36
38,36,39,36,44
36,36,36,36,39
39,36,36,35,41
34,36,35,36,37
39,36,36,36,37
37,36,38,36,40
37,36,36,33,36
36,36,36,36,39
36,36,36,36,36
37,40,37,36,50
36,36,36,36,36
36,38,36,36,46
40,38,42,36,41
38,38,36,36,38
37,36,36,36,38
41,36,37,36,41
23,36,37,44,38
36,36,36,36,36
36,36,40,36,43
31,38,36,36,39
36,36,36,36,40
36,42,43,35,36
43,36,41,35,38
39,45,38,36,45
38,36,35,41,36
36,38,36,29,37
38,36,37,36,37
43,45,37,36,40
39,40,36,36,42
38,41,37,36,39
36,36,36,35,40
30,38,36,42,36
36,42,41,36,42
36,36,36,36,39
41,46,45,36,56
36,36,36,36,36
40,52,40,33,51
36,40,42,36,39
36,37,36,36,43
42,42,36,35,37
36,36,36,36,42
37,34,36,45,36
36,38,40,37,36
36,37,42,36,36
37,37,41,36,39
35,36,36,36,37
36,36,32,36,40
33,36,36,36,36
41,36,38,36,37
36,38,37,36,49
47,49,44,35,44
41,40,39,48,44
36,36,40,34,38
32,36,34,56,37
39,45,49,31,41
36,40,39,35,37
43,38,42,36,40
36,38,36,39,36
37,38,36,35,45
36,36,36,36,38
36,36,36,36,40
41,41,43,36,47
36,36,36,36,42
42,38,36,36,36
37,36,37,36,39
36,36,36,36,36
30,38,34,36,36
42,36,35,36,45
44,42,39,36,42
34,36,23,36,39
34,36,36,36,38
36,40,36,36,36
37,44,39,36,51
38,36,40,35,41
36,43,43,36,47
40,44,42,36,39
39,38,36,36,36
40,36,39,32,39
38,41,38,36,46
44,50,47,34,46
37,36,43,36,39
36,36,36,36,36
36,38,36,36,35
36,36,36,36,37
37,38,36,32,43
36,38,36,36,40
45,47,45,28,47
36,40,36,36,41
36,36,38,36,36
37,36,42,36,39
36,36,37,36,41
35,43,44,36,36
36,36,37,36,37
38,36,37,36,37
