number,Mean_SocialD,normal_human.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean,MSDpersona_GPT3.5.mean,MSDshape_GPT3.5.mean,MSDpersona_GPT4.mean,MSDshape_GPT4.mean,MSDpersona_LLaMA3.mean,MSDshape_LLaMA3.mean
32,5.91,3.99,3.82,3.51,3.24,3.48,3.81,2.93,0.17,0.48,0.75,0.51,0.18,1.06
33,5.45,3.37,4.12,3.9,3.04,3.24,3.61,3.26,-0.75,-0.53,0.33,0.13,-0.24,0.11
34,5.64,3.02,2.95,2.68,2.96,2.92,2.97,2.78,0.08,0.35,0.06,0.1,0.06,0.24
35,4.91,2.64,3.13,4.23,3.02,3.54,3.51,3.5,-0.49,-1.59,-0.37,-0.89,-0.87,-0.86
36,1.64,1.89,1.48,2.01,1.92,2.16,1.11,2.08,0.41,-0.12,-0.03,-0.27,0.78,-0.19
37,5,3.74,3.69,3.65,3.21,3.2,3.17,2.97,0.05,0.09,0.53,0.54,0.57,0.77
38,2.36,2.16,2.85,3.51,2.88,2.93,2.09,3.13,-0.69,-1.35,-0.72,-0.77,0.07,-0.97
39,4.91,3.44,3.27,3.24,2.99,3,2.92,2.85,0.17,0.19,0.44,0.44,0.51,0.59
40,5.45,3.37,2.91,2.82,2.99,2.89,2.44,2.78,0.46,0.56,0.38,0.48,0.93,0.59
41,6.09,3.27,3.48,3.8,3.01,3.3,3.75,3.29,-0.21,-0.53,0.26,-0.03,-0.48,-0.02
42,4.36,2.86,2.47,2.84,2.96,3.19,2.07,2.73,0.38,0.02,-0.1,-0.33,0.79,0.13
43,4.91,3.8,3.44,3.46,3.09,3.29,4.19,3.41,0.36,0.34,0.71,0.52,-0.39,0.4
44,1.45,2.19,2.69,2.98,2.92,2.86,2.35,2.97,-0.51,-0.79,-0.73,-0.68,-0.16,-0.78
45,4.82,2.64,3,3.24,2.98,2.97,2.99,3.14,-0.35,-0.6,-0.34,-0.33,-0.35,-0.5
46,6.45,3.78,3.49,3.14,3.06,3.05,3.85,3.09,0.28,0.63,0.72,0.73,-0.07,0.69
47,4.27,3.68,3.29,3.48,3.21,3.42,4.13,3.37,0.39,0.2,0.47,0.26,-0.45,0.31
48,5.45,3.82,3.59,4.64,3.34,4.09,4.4,3.93,0.23,-0.82,0.48,-0.27,-0.57,-0.11
49,4.55,3.52,3.01,3.2,3,3.22,2.35,2.85,0.51,0.32,0.52,0.3,1.17,0.67
50,2.27,2.38,2.98,3.02,2.99,2.89,2.83,3.23,-0.6,-0.63,-0.61,-0.51,-0.45,-0.85
51,4.45,3.71,3.1,3.45,3.27,4,3.6,3.24,0.61,0.27,0.45,-0.29,0.11,0.47
52,3.09,2.44,2.98,2.97,2.92,3.03,1.91,2.5,-0.54,-0.53,-0.48,-0.59,0.53,-0.06
53,3.91,2.92,2.67,3.08,2.94,2.95,1.97,2.49,0.26,-0.15,-0.01,-0.03,0.96,0.43
54,2.73,2.19,2.77,3.01,2.96,2.56,3.18,3.35,-0.58,-0.82,-0.77,-0.37,-0.99,-1.15
55,3.27,2.57,2.7,3.55,2.99,3.09,2.82,3.16,-0.12,-0.98,-0.42,-0.52,-0.25,-0.59
56,1.82,2.28,2.51,3.33,2.97,2.99,2.17,2.87,-0.23,-1.05,-0.69,-0.71,0.11,-0.59
57,4.55,3.38,3.23,3.18,3,3.18,3.32,3.08,0.15,0.2,0.38,0.2,0.06,0.3
58,5.09,3.02,2.88,3.27,2.96,3.14,2.59,2.63,0.13,-0.25,0.06,-0.12,0.43,0.39
59,5.55,2.94,3.04,3.81,2.95,3.21,2.34,3.23,-0.1,-0.87,-0.01,-0.27,0.6,-0.29
60,6.64,3.87,4.91,4.79,3.43,4.16,4.29,3.82,-1.04,-0.92,0.44,-0.29,-0.42,0.05
61,5.45,3.72,3.38,3.31,3.13,3.12,3.45,3.14,0.34,0.4,0.58,0.6,0.27,0.58
62,5.55,3.75,4.1,3.82,3.33,3.73,3.97,3.46,-0.35,-0.07,0.41,0.01,-0.22,0.29
63,2.45,2.82,2.38,3.16,3.01,3.18,2.53,2.86,0.44,-0.34,-0.19,-0.36,0.29,-0.04
64,4.64,3.52,2.99,3.18,3.07,2.89,3.18,2.99,0.53,0.33,0.44,0.63,0.33,0.52
65,4.36,3.52,3.17,3.42,3.01,3.08,3.13,3.01,0.35,0.1,0.51,0.44,0.38,0.5
66,3,2.48,2.3,2.89,2.94,3.17,2.1,2.76,0.18,-0.41,-0.46,-0.69,0.38,-0.28
67,3,2.91,3.55,3.36,3.27,3.03,3.81,3.03,-0.64,-0.44,-0.35,-0.11,-0.89,-0.11
68,6.27,3.29,3.59,4.01,3.06,3.92,2.88,3.18,-0.3,-0.72,0.23,-0.63,0.41,0.11
69,5.73,3.48,3.03,3.79,3.07,3.77,3.97,3.93,0.45,-0.3,0.41,-0.29,-0.49,-0.44
70,2.73,2.28,2.92,3.11,2.98,2.95,2.69,2.92,-0.63,-0.83,-0.7,-0.66,-0.41,-0.64
71,4,3.58,3.3,3.75,3.07,3.36,4.03,3.28,0.27,-0.18,0.51,0.22,-0.45,0.3
72,3.64,2.25,2.83,3.12,3,2.92,2.27,2.53,-0.58,-0.87,-0.75,-0.68,-0.02,-0.29
73,4.27,3.78,3.24,3.66,3.1,3.5,2.95,3.07,0.55,0.13,0.68,0.29,0.83,0.71
74,1.91,2.47,2.9,3.21,2.98,3,2.75,2.88,-0.43,-0.74,-0.51,-0.53,-0.28,-0.41
75,3.45,3.17,2.92,3.38,3,3.4,3.6,3.3,0.25,-0.21,0.17,-0.23,-0.43,-0.13
76,1.91,2.43,2.66,2.75,2.48,2.48,1.62,2.29,-0.23,-0.32,-0.05,-0.05,0.81,0.14
77,6.18,3.08,3.23,4.51,3.04,3.77,3.29,3.58,-0.15,-1.43,0.04,-0.69,-0.21,-0.5
78,4.64,3.65,4.31,4.5,3.28,4.16,4.78,4.08,-0.66,-0.85,0.37,-0.52,-1.13,-0.43
79,3.55,2.37,2.78,3.33,2.99,3.23,3.97,4.01,-0.4,-0.95,-0.62,-0.85,-1.6,-1.63
80,1.91,2.05,2.01,3.29,2.5,2.96,1.95,2.85,0.04,-1.24,-0.45,-0.91,0.1,-0.8
81,3.91,2.95,3.23,3.69,3.05,3.4,3.5,3.28,-0.29,-0.75,-0.1,-0.45,-0.55,-0.33
82,3.27,3.3,2.69,3.25,3.01,3.18,2.31,2.64,0.61,0.05,0.29,0.12,0.99,0.66
83,3.18,3.73,3.1,3.27,3.02,3.23,2.76,2.46,0.63,0.45,0.71,0.49,0.96,1.27
84,1.55,1.92,1.08,1.81,1.89,2.32,1.19,2.16,0.84,0.11,0.03,-0.39,0.73,-0.23
85,3.27,2.68,3,3.15,2.75,3.06,3.05,3.64,-0.31,-0.46,-0.06,-0.37,-0.37,-0.96
86,4.91,3.2,3.05,3.01,3.01,3.14,2.74,2.47,0.15,0.19,0.19,0.06,0.46,0.73
87,2.91,3.19,3.31,3.78,3.02,3.45,3.5,3.48,-0.11,-0.59,0.17,-0.26,-0.31,-0.28
88,5.73,3.2,3.07,3.04,2.94,2.75,1.83,2.3,0.13,0.16,0.26,0.45,1.37,0.9
89,3.18,2.8,2.99,3.52,3.04,3.48,2.81,3.43,-0.19,-0.72,-0.24,-0.68,-0.01,-0.62
90,3.45,2.66,2.39,2.64,2.98,3.2,1.97,2.72,0.27,0.02,-0.32,-0.54,0.68,-0.06
91,3.64,2.18,2.57,3.39,2.99,3.15,2.41,3.02,-0.39,-1.21,-0.81,-0.97,-0.23,-0.84
92,2.55,2.71,2.83,3.46,3.01,3.17,3.08,3.27,-0.12,-0.75,-0.3,-0.46,-0.36,-0.55
93,2,2.82,2.97,3.01,3.02,3.14,2.44,2.78,-0.16,-0.19,-0.2,-0.33,0.38,0.04
94,3.36,2.64,2.71,2.87,3.05,3.17,3.44,3.7,-0.07,-0.23,-0.41,-0.53,-0.8,-1.06
95,4.91,2.5,2.89,3.11,2.94,3.09,2.32,3.09,-0.39,-0.61,-0.45,-0.6,0.17,-0.6
96,3.73,2.31,2.89,2.68,2.95,3.08,2.11,2.57,-0.58,-0.38,-0.64,-0.77,0.2,-0.27
97,4.82,4.12,4.64,4.3,3.16,3.73,4.21,3.56,-0.53,-0.19,0.96,0.39,-0.1,0.56
98,5.27,3.66,3.62,3.88,3.09,3.47,3.47,3.13,0.04,-0.23,0.56,0.19,0.19,0.52
99,2,1.92,1.28,1.86,1.96,1.95,1.13,1.9,0.65,0.06,-0.03,-0.02,0.79,0.02
100,3.27,2.23,2.95,2.65,2.87,2.8,1.57,2.34,-0.73,-0.43,-0.65,-0.57,0.66,-0.11
