Item content,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd,persona_LLaMA3.sd,shape_LLaMA3.sd
I am someone who Rarely feels anxious or afraid,1.37,1.41,0.5,1.16,0.31,0.91,1.12,1.37
I am someone who Thinks poetry and plays are boring,1.37,1.3,0.58,1.16,0.21,0.91,1.31,1.53
I am someone who Prefers to have others take charge,1.28,1.26,0.66,1.39,0.44,1.19,0.76,1.57
"I am someone who Is polite, courteous to others",0.7,0.6,0.73,1.14,0.38,1.29,0.97,1.44
"I am someone who Is persistent, works until the task is finished",0.91,0.81,0.74,1.16,0.65,1.3,1.13,1.48
"I am someone who Tends to feel depressed, blue",1.46,1.37,0.54,0.99,0.38,1.14,1.07,1.37
I am someone who Has little interest in abstract Ideas,1.22,1.16,0.34,0.88,0.32,1.04,1.08,1.36
I am someone who Shows a lot of Enthusiasm,1.22,1.04,0.86,1.19,0.63,1.18,1.09,1.51
I am someone who Assumes the best about people,1.28,1.07,0.62,1.21,0.27,1.2,0.98,1.47
I am someone who Sometimes behaves irresponsibly,1.3,1.17,0.68,0.88,0.38,1.16,1.13,1.4
"I am someone who Is temperamental, gets emotional easily",1.33,1.28,0.55,1,0.3,1.1,1.08,1.52
"I am someone who Is original, comes up with new Ideas",1.07,0.91,0.69,1.08,0.4,1.21,1.13,1.41
