"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
11,10,13,18,20,17,14,14,16,9,8,9,18,17,14
11,12,15,18,19,15,14,16,16,14,7,9,18,13,15
6,12,6,12,17,12,12,12,12,14,12,14,9,6,10
16,14,17,16,18,16,14,17,16,8,6,8,16,12,16
13,13,12,15,18,14,17,17,16,11,8,8,15,10,12
14,16,17,18,14,9,13,17,12,18,13,16,12,16,19
13,17,16,18,19,16,16,19,18,10,8,8,17,12,15
15,14,15,17,19,16,16,17,16,14,11,10,18,15,17
12,17,14,17,18,16,16,18,16,16,8,8,18,8,15
12,12,14,20,20,17,15,17,18,13,8,8,15,15,15
6,6,10,11,11,12,4,4,4,12,16,15,8,9,8
16,16,20,6,6,8,8,20,5,12,4,4,5,4,20
16,14,19,20,20,19,13,18,17,8,7,8,14,18,16
15,15,20,18,18,17,12,17,16,8,6,8,7,4,12
16,14,20,18,19,17,12,13,8,9,8,11,16,18,16
13,14,19,19,20,17,13,17,16,9,8,8,18,20,20
12,13,15,20,20,16,13,17,19,12,10,10,15,10,12
4,7,12,14,15,13,5,8,8,14,16,16,14,17,18
19,19,20,18,18,16,12,19,14,10,5,8,17,17,18
7,9,8,13,14,12,8,6,4,20,19,19,16,16,12
20,20,20,15,18,15,13,20,16,11,4,8,6,9,18
8,10,11,17,18,15,10,6,8,10,9,15,15,18,16
10,12,14,20,17,16,12,14,12,12,8,15,18,15,17
16,14,19,16,18,16,12,13,8,11,7,13,16,17,18
16,19,19,14,14,13,12,18,14,12,7,8,8,7,12
4,5,7,20,20,17,17,13,17,17,16,12,16,16,12
16,18,18,20,19,16,17,19,18,18,15,16,17,20,17
6,12,14,7,13,10,11,14,8,12,12,14,14,12,16
14,12,16,18,19,16,12,14,16,9,7,9,16,15,14
10,12,15,16,16,14,12,16,12,13,8,11,16,20,17
14,12,16,20,20,16,13,17,16,10,8,8,9,14,12
14,12,18,20,20,19,17,17,19,8,8,8,16,13,13
14,12,14,17,17,16,12,15,12,8,7,9,13,16,12
7,10,12,18,19,16,14,15,14,14,8,10,13,17,16
4,8,10,14,13,10,5,7,7,16,16,16,15,17,19
19,16,16,10,10,12,6,12,6,16,16,18,15,17,19
6,6,8,20,20,17,10,10,14,19,18,16,5,11,10
20,18,18,20,20,19,15,20,20,10,5,6,9,9,13
10,14,17,16,19,14,18,17,17,8,6,7,15,15,12
13,10,18,14,12,10,5,8,7,18,17,20,15,16,20
19,8,18,16,17,16,6,11,8,7,8,8,5,4,5
6,7,4,14,13,12,7,7,8,20,19,19,8,7,6
8,10,15,16,19,16,12,14,14,10,8,8,8,17,13
7,9,12,15,16,14,10,8,8,16,16,14,16,15,12
12,13,17,18,20,18,15,14,16,8,5,10,11,17,14
14,12,17,20,18,16,12,15,16,13,8,10,17,20,17
8,7,13,20,20,17,12,12,13,20,13,18,16,10,15
18,16,20,20,20,17,12,17,8,12,9,14,18,20,20
13,11,17,20,20,16,20,20,20,8,5,6,7,11,14
15,11,17,16,18,14,12,14,14,9,7,9,11,18,16
20,20,20,12,14,13,12,13,8,9,5,14,11,19,18
18,17,20,14,16,16,12,18,12,12,7,8,13,8,15
8,13,17,16,18,16,14,16,14,14,9,9,15,6,14
4,4,15,12,11,12,11,15,10,19,16,16,17,15,12
12,14,16,14,16,14,12,16,16,14,7,10,9,9,12
5,6,6,8,16,10,8,10,8,16,16,9,10,8,8
16,13,18,16,18,15,12,14,16,13,8,15,15,20,12
14,16,14,7,10,7,8,10,7,14,12,16,10,13,12
15,17,17,20,19,16,14,17,16,9,7,10,19,20,19
11,12,12,16,18,14,17,16,17,11,9,7,8,9,10
8,12,13,19,19,16,16,15,16,10,10,8,16,15,16
6,11,10,18,17,10,10,14,12,14,10,15,16,16,17
12,13,18,20,20,18,15,19,20,10,9,10,16,10,12
16,17,17,12,14,12,12,16,10,14,7,10,8,8,12
14,12,18,17,16,10,13,18,14,18,9,16,10,11,15
12,18,17,14,17,12,14,19,16,14,8,8,18,14,18
18,18,19,18,19,17,12,17,12,11,5,11,17,18,19
19,18,20,17,18,16,12,18,16,8,5,10,19,20,20
8,12,9,14,16,14,8,6,8,13,11,15,10,10,11
15,15,20,16,20,15,13,17,16,9,7,8,17,15,15
13,13,16,18,20,16,17,17,16,9,8,8,16,15,16
14,14,17,20,20,16,13,16,16,8,7,8,16,15,16
8,10,15,16,19,16,12,16,14,10,8,8,8,17,13
12,12,16,15,17,14,12,15,16,12,9,10,10,11,12
8,12,14,18,20,17,14,16,16,8,8,8,18,20,17
9,10,9,15,17,14,10,12,12,14,13,11,7,8,10
10,12,15,18,18,16,12,12,10,10,8,14,16,20,20
12,15,20,17,19,17,13,18,16,8,6,7,18,16,17
13,13,19,18,19,18,12,17,16,8,6,6,8,9,12
12,11,12,15,17,15,12,10,11,10,9,12,16,17,13
15,14,20,18,18,16,12,17,12,7,6,8,14,18,15
4,7,12,12,12,10,15,16,12,19,16,12,15,15,12
11,12,13,18,18,16,12,16,16,11,8,8,16,12,15
14,15,14,17,18,16,18,19,16,10,8,8,19,20,17
4,10,10,12,15,13,12,10,12,8,9,8,10,12,12
13,14,17,18,17,16,12,16,14,13,8,8,16,20,17
10,12,16,20,20,17,16,18,19,8,7,7,16,11,12
18,18,18,13,14,11,13,18,12,8,4,12,20,15,18
18,14,19,20,20,19,14,18,18,10,5,10,17,19,18
12,11,16,5,6,7,5,13,4,20,20,20,8,10,10
12,12,15,18,20,16,17,17,16,10,8,8,16,16,12
12,13,18,16,18,15,12,17,16,9,6,7,7,9,12
18,12,15,18,18,18,13,12,15,8,8,8,8,11,12
15,13,17,19,20,16,12,16,16,9,8,10,16,19,16
15,12,18,19,19,18,14,14,16,8,7,9,13,14,15
8,10,15,18,18,16,12,17,15,8,8,8,8,17,15
6,10,14,15,17,14,14,12,16,20,16,16,16,12,12
8,10,14,20,20,17,20,16,18,7,7,7,16,19,12
13,14,17,12,16,15,12,14,12,10,8,12,17,17,18
12,12,18,20,20,18,14,19,17,8,5,9,17,20,20
12,14,14,15,17,10,17,19,14,16,7,14,15,13,17
17,13,19,20,20,19,10,14,10,9,6,16,19,20,20
8,12,14,18,20,17,18,17,17,8,7,7,13,11,12
16,14,18,16,16,16,10,14,9,16,10,16,16,19,18
17,14,17,20,20,16,13,17,10,16,10,12,16,12,14
14,14,17,19,18,16,12,15,14,16,12,16,19,20,18
13,12,16,14,11,7,13,13,12,20,12,20,14,13,11
15,13,15,16,17,16,16,16,16,15,8,8,16,11,12
12,16,15,18,20,16,17,19,18,8,6,7,17,14,16
8,12,16,17,17,16,10,16,14,16,10,11,14,10,16
8,10,10,13,17,15,12,10,11,10,11,11,13,17,12
12,16,12,16,19,16,8,12,12,17,8,14,16,18,17
7,6,6,19,20,15,14,10,14,16,12,9,10,13,11
15,16,20,14,17,16,12,18,12,10,7,8,12,10,15
12,17,15,17,17,15,12,17,18,10,8,8,16,19,17
19,17,20,20,19,18,11,19,12,12,8,12,19,14,20
16,15,14,19,17,12,13,16,14,20,16,18,20,20,17
14,19,20,20,18,16,14,19,18,10,5,8,16,18,18
6,8,5,10,12,8,6,8,4,20,20,20,9,8,10
16,19,18,20,20,17,18,20,19,8,5,5,18,13,18
8,10,14,18,20,14,16,16,18,10,8,8,13,8,12
12,17,20,19,20,18,18,20,19,10,4,5,17,10,18
7,10,12,20,20,17,19,18,18,18,11,11,11,11,12
12,13,17,20,20,16,13,18,16,10,7,8,17,20,17
14,14,16,17,19,16,16,17,16,15,8,10,18,15,17
11,11,16,16,17,16,12,15,16,16,13,14,14,16,14
12,13,18,15,18,15,13,17,14,10,6,7,16,12,18
6,13,10,13,14,10,12,12,10,16,18,16,19,14,19
17,18,20,20,19,16,12,19,16,10,5,8,16,12,17
11,12,16,18,18,16,13,16,16,8,8,8,9,16,14
10,11,16,19,19,17,12,12,16,7,7,8,16,17,16
6,10,6,12,15,13,8,6,10,8,12,13,6,7,8
15,16,20,10,13,12,8,12,5,7,7,14,18,17,20
17,17,18,20,20,17,15,18,14,12,7,8,17,16,14
10,10,12,14,12,14,4,5,5,10,16,18,17,16,18
8,10,12,16,16,15,10,10,10,16,10,11,16,12,13
14,13,16,20,20,18,16,18,18,9,8,8,16,12,16
8,10,14,19,20,15,15,14,14,12,12,16,17,20,14
17,19,20,19,20,17,18,20,18,10,5,7,18,20,17
12,12,16,20,20,16,17,17,18,11,8,8,19,20,17
16,12,17,20,20,17,15,17,18,8,6,8,15,14,17
12,12,16,16,18,15,13,17,14,12,8,9,9,5,12
15,15,20,7,10,12,9,13,6,6,4,12,10,10,16
12,14,18,15,17,16,12,17,16,14,8,8,17,18,19
17,17,19,20,20,17,15,18,14,11,6,8,17,17,17
12,15,14,18,20,12,19,19,18,16,7,8,12,12,14
20,20,20,15,18,16,17,14,16,10,4,11,6,15,20
14,11,19,18,18,16,12,13,10,16,16,16,6,5,13
8,10,14,16,18,15,12,17,16,14,8,13,16,18,13
12,12,18,18,19,17,12,14,16,7,4,9,13,18,14
8,10,14,19,20,16,12,13,14,10,8,10,16,18,17
17,17,20,20,20,19,12,17,12,7,4,9,19,15,20
8,10,12,18,19,13,15,18,16,17,14,14,17,17,12
8,12,14,16,19,15,15,16,15,16,9,10,15,10,12
12,17,16,17,17,16,12,19,18,16,8,8,11,16,12
7,10,14,15,17,15,12,11,12,16,16,14,15,18,13
8,10,15,20,20,17,17,17,18,8,8,7,16,11,14
12,17,15,15,18,16,12,18,17,10,6,8,13,16,13
12,13,17,14,18,13,12,17,16,12,7,7,10,6,12
