"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
33,42,41,41,38
29,52,49,29,34
55,32,36,50,47
33,43,43,32,39
39,46,49,29,49
36,47,49,30,48
36,46,48,31,43
36,51,47,31,44
25,45,43,52,39
36,45,44,33,39
44,55,47,30,38
39,42,46,34,39
42,51,48,31,44
37,47,55,25,43
45,46,46,27,36
41,51,51,32,44
35,43,44,33,39
26,45,42,39,39
42,44,48,27,43
39,47,47,28,43
41,35,41,36,45
41,46,50,31,40
35,50,49,31,43
46,46,50,27,43
35,44,50,28,45
41,47,50,31,42
40,55,45,24,43
37,46,45,32,47
40,55,53,28,44
40,50,49,30,38
40,43,47,33,38
43,48,48,28,46
43,52,48,30,52
44,49,54,25,41
36,48,48,31,43
37,44,47,26,44
44,47,46,27,50
24,44,24,40,38
28,48,47,33,41
