"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
5,4,4,10,16,10,14,8,11,17,19,10,6,7,9
11,16,15,18,20,15,15,17,15,10,8,9,15,15,15
14,10,8,16,17,15,10,6,10,15,12,14,12,18,16
14,11,15,16,16,18,17,16,17,8,9,9,15,16,15
16,16,15,14,15,14,14,15,15,10,7,11,14,15,15
14,14,15,20,20,19,17,20,18,10,8,8,15,16,15
12,13,14,14,15,14,16,15,16,10,10,9,14,15,13
12,13,6,4,4,5,5,13,6,11,16,13,8,13,16
11,13,10,14,18,14,17,16,18,4,8,8,13,12,12
11,11,11,16,20,16,14,13,17,8,9,8,12,13,12
16,15,16,18,18,17,15,18,16,9,7,10,16,14,15
10,14,12,11,13,10,15,15,13,10,10,9,10,11,15
11,12,16,18,17,16,13,16,14,9,8,9,16,18,17
4,5,8,16,20,13,16,16,17,12,12,10,5,5,5
12,12,12,12,14,12,12,12,12,12,12,12,14,12,12
7,9,9,16,15,15,16,14,16,14,14,9,13,13,14
8,10,8,16,16,13,12,11,13,16,16,16,14,15,13
15,10,12,17,18,14,17,14,16,11,11,8,7,6,6
10,16,6,4,4,4,8,12,9,15,14,12,10,5,10
12,12,12,12,16,12,12,16,12,12,12,12,14,13,12
14,11,15,20,19,18,16,18,18,8,9,7,14,16,15
12,12,12,14,15,16,16,14,15,9,9,10,14,14,12
11,11,13,16,20,16,12,14,16,10,10,8,10,8,11
11,12,11,16,16,15,8,9,10,13,12,13,14,15,13
6,7,4,15,17,13,15,7,16,14,13,10,10,12,11
13,13,15,20,19,19,18,17,17,11,9,6,15,16,15
9,16,6,4,4,4,7,10,7,11,18,11,9,11,11
20,18,19,17,18,19,14,19,13,5,5,9,15,18,17
20,17,20,17,20,19,13,20,15,6,5,8,15,19,14
9,11,10,15,12,11,12,13,13,19,18,19,13,15,14
4,4,4,16,19,14,17,8,17,18,18,9,8,9,9
14,16,15,19,19,17,18,17,16,9,7,9,18,20,16
10,13,8,17,16,15,17,17,18,8,8,7,13,13,13
10,8,14,18,18,14,17,13,16,10,10,12,8,7,5
5,8,6,16,18,15,16,14,16,14,11,8,10,12,11
11,11,15,19,18,16,16,18,17,11,10,7,15,14,14
11,12,12,20,20,19,15,17,19,11,8,9,15,14,14
12,16,16,17,20,14,20,20,20,8,6,5,15,13,15
20,16,20,16,15,17,16,20,15,8,5,8,15,12,16
12,13,12,16,19,18,15,16,17,11,10,9,14,14,12
12,12,12,16,18,16,16,12,15,8,8,9,14,13,12
16,14,17,17,17,17,14,17,15,11,6,11,15,17,16
12,12,12,12,15,12,12,12,12,12,12,12,12,12,12
12,12,12,12,14,12,12,13,12,12,12,12,12,12,12
13,13,12,15,15,14,7,6,9,11,11,14,14,17,15
9,9,7,12,14,7,12,10,9,20,18,18,13,12,12
11,10,13,16,20,18,16,16,17,9,9,9,14,15,15
12,12,12,12,14,12,12,12,12,12,12,12,12,12,12
12,15,16,18,19,16,15,17,15,11,9,10,13,16,18
12,10,11,16,18,15,12,12,13,11,9,12,10,8,8
12,12,15,15,18,15,6,8,8,12,10,13,14,17,16
7,8,6,13,14,13,14,9,16,14,15,11,7,9,7
5,6,6,14,17,14,13,10,13,16,16,13,11,10,12
9,12,7,4,5,5,6,11,10,14,14,14,4,6,11
13,12,14,18,19,16,15,15,16,10,10,9,15,15,15
10,13,13,15,18,14,20,16,19,12,10,8,12,12,11
13,10,10,16,19,15,6,8,8,12,11,13,13,17,16
13,15,16,17,16,16,12,16,14,11,9,10,16,18,12
10,8,8,16,20,14,16,14,17,11,11,8,5,5,4
9,14,10,6,9,6,12,12,9,13,12,11,10,11,16
6,7,4,14,17,15,14,6,16,11,13,11,10,11,11
13,10,9,15,16,15,6,6,9,9,10,12,13,14,14
11,12,12,15,18,16,15,16,16,8,8,8,12,14,13
10,12,7,11,7,6,8,9,6,20,17,19,10,10,8
10,13,11,15,15,12,11,14,10,18,17,17,15,16,14
12,12,12,16,16,16,12,15,15,8,8,8,14,16,15
13,13,14,14,16,15,7,9,9,11,11,15,16,16,14
10,10,8,11,16,9,14,12,12,12,13,8,5,4,4
12,12,12,14,18,16,15,12,15,4,8,8,13,12,12
10,13,14,17,17,16,13,14,13,10,9,10,16,19,19
12,12,12,20,20,19,16,18,19,11,9,9,16,14,14
12,12,12,12,12,12,12,12,12,12,12,12,14,12,12
10,12,12,11,11,9,10,12,13,9,11,11,12,11,17
9,10,11,16,16,12,14,14,15,16,16,15,13,13,15
10,11,10,14,18,15,16,16,18,8,8,9,13,15,12
12,14,14,13,16,13,16,16,16,11,8,9,13,13,12
12,11,11,16,16,15,10,10,10,12,12,12,16,15,15
7,9,8,15,16,7,9,9,9,20,20,19,12,13,12
11,7,6,13,13,11,7,6,9,10,14,14,11,15,13
13,14,14,16,16,19,18,18,19,9,8,7,14,15,14
12,12,12,16,18,16,14,13,16,6,8,8,14,15,13
12,12,12,13,14,12,12,15,12,12,12,12,16,13,12
12,14,12,20,20,20,15,16,16,12,10,12,12,13,12
12,12,11,14,14,11,11,11,12,18,18,17,15,13,15
6,5,4,16,14,13,11,4,15,14,18,13,11,9,8
12,13,11,11,10,8,14,14,14,13,13,11,10,11,16
14,16,16,19,17,16,12,16,14,9,8,11,17,19,14
12,14,12,20,20,19,12,17,17,11,9,9,15,16,13
7,16,9,5,4,4,15,16,13,12,14,10,7,6,12
17,15,15,15,18,16,16,18,15,9,7,11,13,16,15
13,10,13,16,19,15,8,7,7,15,11,15,14,16,17
7,9,7,13,16,11,13,11,13,20,18,18,13,13,12
12,15,15,14,20,16,20,20,20,11,7,6,15,13,13
5,8,6,13,20,11,20,14,16,12,12,8,5,4,4
7,7,8,18,20,15,13,13,16,13,11,8,6,4,6
11,12,14,20,20,19,16,15,18,11,9,10,15,15,13
13,13,15,15,18,16,12,14,12,10,10,11,17,16,14
11,13,11,4,7,5,9,10,7,14,15,14,10,12,13
11,12,11,13,17,14,16,14,17,6,7,8,14,12,12
14,8,8,12,16,13,4,5,7,8,12,13,10,18,15
11,12,15,20,19,16,13,15,15,9,10,13,17,16,16
12,11,9,9,10,8,13,13,11,10,11,11,11,9,16
12,10,13,15,15,15,6,12,9,13,10,13,14,13,14
11,14,14,17,19,17,12,16,15,12,9,8,18,15,15
11,15,11,4,7,7,14,18,17,11,16,10,10,10,18
12,12,16,17,18,16,13,15,15,10,10,11,15,17,16
10,12,13,17,20,12,16,14,16,11,7,7,5,6,10
20,17,20,17,18,19,16,20,15,6,4,5,14,18,15
10,12,14,15,17,15,16,16,16,12,10,8,15,13,13
12,12,11,15,20,16,17,15,18,6,6,8,14,13,12
12,11,11,15,16,14,8,9,10,12,11,13,13,13,14
12,12,12,12,14,12,12,13,12,12,12,12,13,12,12
9,15,14,15,20,14,20,20,19,9,5,6,13,13,13
8,11,6,14,15,14,15,14,16,13,15,12,12,12,11
12,12,12,13,14,12,12,13,12,12,12,12,14,12,12
20,19,20,17,17,18,15,20,13,6,5,7,16,18,16
11,10,8,4,7,6,8,10,8,12,13,14,11,9,14
7,8,7,14,18,13,15,15,16,13,10,8,6,5,4
10,12,12,15,18,16,16,16,18,6,6,4,14,12,12
20,17,20,17,18,20,13,19,13,5,5,9,15,16,17
12,14,15,16,17,16,12,16,13,10,10,11,16,18,15
20,17,20,17,18,17,15,20,14,10,5,8,16,14,16
13,10,14,20,20,18,12,15,18,10,9,8,14,16,14
16,16,15,13,16,16,14,15,15,10,8,11,14,16,16
12,14,15,19,20,16,16,17,15,8,10,8,17,17,16
9,4,6,16,18,12,17,8,16,18,16,10,8,9,9
10,13,8,4,7,5,13,15,9,8,9,8,9,10,17
12,12,12,12,14,12,12,12,12,12,12,12,13,12,12
10,13,13,15,17,13,16,17,17,11,10,9,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,14,15,15,14,7,10,10,12,11,15,16,15,14
11,11,11,14,15,14,12,12,14,10,10,9,12,12,12
12,13,13,20,16,18,13,17,18,11,9,9,14,14,13
20,18,20,17,19,17,13,19,13,7,5,9,14,17,16
11,11,10,14,14,9,9,12,10,20,16,18,12,12,12
14,15,16,18,18,17,14,17,15,11,9,12,14,18,14
12,12,12,14,14,13,5,7,7,15,12,13,11,17,13
12,12,12,12,14,12,12,15,12,12,12,12,16,12,12
11,9,10,14,17,15,4,7,8,15,11,14,11,14,14
13,10,12,14,15,14,12,13,16,11,10,9,11,8,8
13,12,14,15,18,15,8,9,9,10,9,13,15,16,14
8,9,8,14,18,14,16,13,16,12,10,8,9,8,8
13,13,15,17,17,16,12,14,13,8,9,9,15,16,14
10,13,7,4,6,4,13,13,9,13,15,14,8,11,13
8,8,8,14,15,12,16,10,15,11,13,9,9,10,11
4,6,6,10,20,10,16,13,12,11,13,6,5,5,12
7,10,6,16,17,7,8,8,6,20,20,20,14,13,12
7,11,7,16,15,13,14,12,16,15,15,11,12,13,11
11,11,8,6,7,7,11,13,9,12,12,13,10,8,14
12,14,12,14,18,16,19,16,18,4,6,8,12,12,12
10,13,12,13,17,15,17,18,18,12,10,8,10,12,9
12,13,13,13,15,12,16,16,16,11,10,8,11,12,13
13,11,14,19,19,19,13,16,18,10,10,8,16,14,14
4,9,4,12,16,11,16,10,16,10,16,10,10,10,11
10,12,6,4,4,4,14,11,8,20,16,18,11,13,16
20,19,20,18,16,18,15,20,16,10,5,9,16,17,15
13,11,13,17,16,16,15,14,15,10,9,9,15,15,14
12,14,16,15,18,17,12,16,14,9,9,9,17,20,16
10,14,14,16,18,16,16,19,16,8,7,10,14,15,17
6,8,7,15,13,9,14,11,10,20,20,19,11,12,12
13,14,12,10,13,10,13,13,11,11,11,11,12,11,15
11,12,11,14,16,14,14,14,14,10,10,9,13,15,12
12,13,12,13,15,12,15,15,14,12,12,10,16,14,12
12,11,15,12,20,18,14,16,17,8,9,9,16,16,14
11,15,16,15,20,16,19,20,19,10,7,7,13,15,13
11,14,12,14,15,14,16,15,16,11,10,9,11,12,12
5,4,4,14,17,10,9,4,11,18,16,9,5,9,8
11,8,9,12,18,15,10,11,12,14,15,11,5,6,8
12,12,13,20,20,19,16,18,18,10,9,9,14,15,13
16,16,16,16,18,16,13,19,15,9,6,11,16,17,14
10,15,14,13,18,14,16,17,17,10,9,9,11,11,11
12,14,14,14,20,15,20,20,18,9,5,7,13,12,12
12,11,13,20,19,19,15,16,18,10,10,10,14,15,14
12,16,4,4,4,4,14,9,10,16,12,13,4,4,8
11,17,15,14,19,15,20,20,20,10,8,4,9,9,10
12,14,15,17,17,17,16,16,14,10,8,10,15,16,16
8,6,7,13,17,14,15,11,15,12,13,10,9,12,11
10,14,15,14,18,13,20,20,20,10,10,6,13,13,13
10,12,8,12,11,7,11,13,10,20,19,20,12,12,12
11,12,12,16,16,16,14,15,15,8,8,10,14,14,12
12,14,14,13,18,12,20,20,19,11,7,6,9,12,13
11,12,14,16,17,16,11,14,13,10,10,12,15,17,12
11,15,14,13,20,14,20,20,19,11,7,7,11,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,16,15,20,20,18,16,16,18,11,9,8,10,6,14
6,5,4,13,18,15,16,8,16,11,11,11,10,14,11
13,11,8,15,17,13,10,7,8,9,12,12,10,11,14
5,6,5,14,18,13,15,11,15,12,17,11,14,14,12
5,4,4,12,17,12,14,6,11,14,12,12,10,12,10
12,12,12,20,20,20,16,17,18,12,9,11,12,13,12
18,18,19,17,16,16,12,20,14,9,5,8,16,18,18
11,11,10,16,17,12,16,14,15,16,14,15,13,15,13
12,11,12,19,18,18,15,14,17,12,10,11,13,17,12
12,13,13,19,17,19,15,15,18,10,9,11,14,16,14
12,11,12,14,15,14,14,14,14,10,8,10,13,15,12
13,12,14,20,19,19,15,15,18,9,9,8,15,16,14
10,15,14,13,20,14,20,16,18,11,7,8,12,12,13
14,13,15,15,17,15,6,10,8,11,10,14,17,16,16
10,8,10,17,14,7,8,10,7,20,18,20,12,14,13
10,14,11,9,10,9,9,12,9,11,11,14,12,11,14
12,11,9,4,4,5,9,15,7,11,12,13,8,12,14
12,11,10,16,19,15,13,15,16,10,8,11,4,5,6
11,11,14,17,17,16,15,16,16,10,10,9,15,15,14
10,9,10,12,16,12,16,12,13,9,14,12,5,8,4
8,8,9,13,16,12,12,12,15,10,12,9,7,7,8
8,10,6,14,15,14,13,8,14,15,16,9,12,13,10
7,8,9,14,17,10,14,9,14,19,18,18,13,11,10
9,11,11,14,18,14,16,13,15,10,9,8,10,9,10
11,14,14,13,18,13,19,18,19,11,10,11,13,13,14
11,16,7,4,4,4,9,7,6,16,16,12,9,12,12
14,9,8,15,14,13,4,4,6,12,10,15,11,17,16
11,13,13,16,20,19,17,15,18,9,9,9,16,16,13
20,17,19,19,15,16,16,20,15,9,5,9,16,18,16
20,18,20,17,19,19,12,19,11,7,5,7,16,17,18
13,12,15,15,16,16,9,10,9,9,11,11,15,15,15
5,10,8,13,17,10,12,14,18,12,14,6,6,6,8
11,12,11,15,20,18,17,16,18,6,4,6,12,13,12
12,12,12,14,17,16,16,15,16,11,10,9,14,15,14
11,10,8,15,14,14,8,8,9,11,12,12,14,14,14
20,17,19,17,18,19,14,20,14,7,5,11,15,17,16
9,11,8,6,6,7,8,12,10,12,12,13,10,9,15
5,4,4,15,18,13,13,8,14,16,20,11,12,12,10
16,15,17,18,17,18,12,16,11,9,9,11,16,18,16
13,13,12,15,15,15,9,10,10,10,11,13,16,16,15
10,13,12,13,11,11,9,11,6,20,18,19,12,13,12
5,8,6,9,20,13,17,14,19,12,12,12,5,4,4
13,12,14,20,20,19,15,16,18,10,8,9,14,16,14
13,11,13,20,20,18,18,17,18,11,9,9,14,15,13
4,4,4,15,16,12,15,7,14,15,19,11,9,11,14
10,12,8,16,16,13,15,14,16,16,17,13,14,15,14
10,15,14,14,20,15,20,16,18,11,6,6,12,12,11
6,9,6,17,19,13,14,7,15,14,16,11,13,12,13
11,15,14,14,17,14,16,20,19,9,7,8,11,11,13
18,17,20,15,17,15,13,20,14,10,5,9,15,16,18
11,17,7,4,6,5,12,13,7,9,11,11,10,11,15
20,18,20,16,19,18,12,20,15,8,6,10,15,16,19
10,13,14,16,17,13,17,18,17,11,10,9,12,12,12
20,18,20,15,14,16,14,19,13,9,5,9,16,16,17
