"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
36,47,51,28,45
17,40,42,56,40
33,32,37,38,39
30,30,49,33,49
43,51,50,21,45
51,56,43,25,53
51,54,48,18,46
43,44,54,27,53
30,46,51,12,57
24,43,60,50,56
37,42,53,22,28
41,47,50,23,44
34,40,58,40,54
46,41,40,42,43
45,21,54,24,51
32,45,60,27,29
25,51,44,26,49
54,46,50,49,46
22,21,59,49,35
37,36,33,27,46
26,39,41,51,45
57,47,53,20,45
45,50,54,22,37
44,49,52,24,45
39,51,45,31,46
23,53,43,33,60
29,57,59,34,46
40,51,56,29,45
35,53,43,32,44
43,44,54,27,60
31,46,39,53,54
34,41,49,30,42
50,52,57,16,55
39,49,35,18,58
35,53,27,50,56
44,36,46,53,42
27,56,51,19,47
18,44,49,50,44
30,54,36,26,53
37,38,53,21,52
32,50,59,26,44
31,45,42,33,36
42,40,31,45,56
43,52,60,17,26
43,58,51,14,45
35,56,57,16,58
17,43,31,57,57
37,43,37,34,47
33,49,43,54,44
35,43,57,47,60
40,53,52,16,60
52,54,49,35,58
43,57,60,17,52
23,60,60,13,32
14,55,46,52,35
47,57,51,20,58
34,42,54,31,40
56,44,52,40,54
40,49,57,32,20
37,46,43,34,44
56,41,43,19,39
25,51,58,23,23
33,44,37,43,39
31,54,42,48,57
41,42,47,23,36
40,47,39,47,59
55,55,59,17,60
33,52,57,35,41
49,48,59,23,49
39,52,55,27,58
51,49,59,33,28
30,51,39,31,42
33,60,56,27,48
20,46,59,16,44
31,51,33,49,46
33,49,53,35,46
28,49,58,21,59
44,48,43,41,57
37,44,51,41,45
55,59,55,18,58
35,46,44,55,33
42,57,55,20,25
37,35,38,38,43
28,42,58,44,52
58,60,60,12,59
21,51,57,48,54
39,53,44,30,54
27,59,58,35,50
51,49,52,28,53
31,40,53,22,44
29,39,37,35,45
29,37,54,53,60
24,49,39,53,57
27,34,37,46,38
29,44,37,33,58
33,23,53,25,40
44,45,49,38,55
48,60,40,21,55
39,48,60,14,51
46,34,55,19,56
21,47,40,32,49
34,52,44,38,50
54,52,57,16,56
26,41,49,53,49
37,31,48,14,53
26,31,37,46,52
36,48,48,28,21
39,20,49,46,35
35,32,34,42,34
48,42,60,16,40
54,54,58,25,57
41,47,60,27,59
32,52,58,24,36
32,47,36,36,54
47,30,38,36,60
39,54,55,14,56
44,47,46,23,40
39,49,48,33,47
25,49,48,33,37
41,44,41,21,46
42,52,52,47,52
23,43,51,22,23
49,55,57,19,58
47,56,60,18,51
40,46,49,30,57
36,43,35,44,46
34,56,60,17,39
56,50,44,28,38
45,45,52,19,50
28,50,46,23,44
42,38,33,44,45
25,38,46,34,44
50,57,60,13,55
30,51,53,30,42
25,44,34,45,41
29,40,53,42,52
40,51,54,18,53
43,56,52,14,32
20,48,32,17,50
24,52,31,45,56
50,58,59,12,60
20,25,13,59,39
24,36,33,46,44
30,35,50,28,34
21,38,48,58,39
25,51,51,45,32
22,36,44,56,46
34,52,37,38,56
37,42,37,48,46
28,47,48,31,42
40,42,49,21,59
49,48,44,20,54
29,48,27,39,52
30,43,27,45,60
25,53,37,43,45
45,54,53,23,53
53,55,48,33,51
35,44,32,40,43
25,36,22,49,54
15,35,35,55,28
27,55,35,21,41
45,37,43,27,58
41,55,50,41,58
37,51,55,36,46
35,42,44,24,48
56,45,59,21,54
49,34,24,45,27
36,48,38,44,59
31,53,45,43,52
27,38,30,47,33
44,59,43,35,54
15,54,32,42,58
37,50,53,25,44
20,46,46,26,36
26,51,37,36,45
52,60,60,17,60
34,42,50,40,58
56,51,54,23,58
30,44,45,32,41
27,34,32,37,49
38,52,53,32,51
45,40,59,15,53
38,43,37,38,41
19,38,46,22,50
27,42,32,44,40
39,55,41,27,44
32,35,57,24,53
54,50,40,33,56
49,55,60,13,58
21,43,42,39,36
45,53,57,13,60
32,47,36,39,26
28,51,48,38,50
35,34,36,55,55
53,52,35,19,54
44,48,50,15,49
41,44,34,40,39
28,49,52,40,52
32,55,60,32,31
21,51,41,51,31
37,57,59,14,60
42,43,54,40,48
38,30,30,50,54
32,43,48,29,52
35,43,49,27,47
27,56,37,36,46
35,49,53,28,53
30,43,45,26,40
34,34,55,51,47
35,53,38,44,30
40,59,56,39,60
26,53,58,13,33
23,60,49,57,56
15,39,39,55,55
20,30,52,59,29
42,45,58,18,55
44,46,41,44,50
46,48,60,12,60
34,53,42,46,41
30,47,39,39,57
32,37,53,30,42
38,42,60,22,46
28,51,56,33,49
26,55,59,27,44
25,59,58,15,37
21,54,51,26,39
60,39,49,32,60
60,60,60,12,59
33,50,51,36,47
49,54,49,32,53
17,49,37,49,55
39,41,51,48,52
24,41,55,33,36
52,42,31,37,38
25,54,57,44,49
48,38,51,31,30
33,58,54,26,55
26,48,60,37,30
53,59,55,14,42
28,50,34,30,58
31,35,55,37,31
36,45,50,33,51
29,50,42,43,20
26,38,51,32,52
53,55,52,22,55
32,60,46,30,60
44,52,39,50,51
22,47,42,38,29
34,46,54,40,55
42,58,47,43,24
26,30,45,41,52
21,50,31,37,43
41,56,54,16,35
33,55,43,38,58
34,60,28,42,53
49,59,59,19,42
23,41,36,14,34
31,31,44,41,43
25,25,38,45,60
37,52,40,39,56
26,58,46,21,52
30,56,57,15,44
19,50,31,29,45
40,42,35,42,36
46,51,20,34,51
50,53,51,21,54
18,48,45,21,42
19,38,50,53,28
24,39,40,42,52
51,60,60,13,60
53,60,60,16,59
46,41,52,20,38
19,45,57,52,52
36,31,36,30,32
32,56,48,12,57
29,45,55,20,53
34,33,58,15,51
46,57,58,22,54
44,57,53,18,60
39,36,49,15,58
42,52,31,32,52
30,31,44,28,48
45,48,39,25,56
56,55,56,36,60
26,50,35,51,58
41,55,54,45,55
45,36,56,25,52
54,54,46,17,41
29,50,37,57,58
39,58,60,23,51
28,44,46,28,39
35,48,52,20,30
58,41,56,16,57
21,48,37,39,30
31,51,59,22,35
23,30,51,36,59
26,53,60,20,52
33,44,42,48,50
38,35,43,47,37
40,44,52,25,38
52,59,55,12,54
19,56,44,34,46
16,49,40,54,52
29,44,28,43,31
46,57,60,19,59
17,39,51,50,34
36,34,38,46,58
35,51,36,23,49
28,53,33,49,57
42,37,50,21,48
33,59,31,32,51
49,47,51,35,53
33,44,50,29,54
40,55,48,37,53
33,54,55,22,40
44,50,52,30,33
33,39,53,39,40
42,56,59,17,53
36,46,43,29,38
30,60,59,14,57
30,36,28,56,51
32,57,53,30,55
53,35,40,50,56
37,36,49,31,45
23,31,48,25,53
41,50,54,15,56
37,26,54,26,35
46,56,60,13,60
17,55,39,60,44
40,52,55,24,49
28,40,38,46,46
34,42,37,44,40
40,45,50,14,54
28,49,50,19,50
24,56,29,40,33
48,53,56,22,52
54,59,54,12,59
59,59,59,12,60
43,58,38,16,52
29,45,46,40,57
45,54,37,48,55
54,58,60,12,57
39,47,29,44,54
46,59,56,41,51
22,44,48,44,29
39,43,55,41,37
30,46,47,36,57
51,36,56,17,58
48,42,56,38,42
31,40,31,40,60
42,46,49,34,44
39,46,44,32,47
21,52,47,28,50
32,40,40,39,51
60,58,58,23,59
14,52,20,45,56
36,43,53,47,57
28,50,35,38,29
25,43,47,53,36
25,47,54,43,39
51,41,44,53,47
42,44,40,16,52
37,40,47,44,59
27,39,25,46,30
23,51,27,40,60
59,47,57,44,57
30,27,34,33,36
41,47,33,38,59
26,57,54,30,49
49,60,60,14,54
41,55,44,31,37
17,48,37,41,47
36,37,43,34,32
22,42,47,55,36
29,48,46,40,40
41,52,54,38,59
22,57,56,28,43
33,33,54,31,32
29,44,48,35,53
42,45,47,26,55
32,51,47,27,52
28,52,41,35,48
37,35,33,33,36
52,52,60,16,58
43,40,50,52,44
33,27,47,34,51
21,35,38,49,55
43,34,36,35,37
28,41,52,37,48
16,33,51,57,35
41,33,40,32,39
60,52,60,15,60
50,53,59,13,59
20,50,31,48,44
36,38,38,18,45
29,44,39,42,59
52,48,35,27,43
27,50,48,48,58
50,59,59,14,59
46,49,60,12,54
31,50,45,30,50
27,42,53,51,49
52,53,56,12,56
43,47,58,19,48
40,40,47,29,43
31,56,38,34,55
37,52,46,49,32
46,46,54,42,55
21,47,52,47,43
48,48,60,13,52
47,53,31,28,43
45,46,37,25,48
53,34,52,24,53
38,41,58,50,32
42,49,34,19,49
30,56,39,31,31
38,39,38,48,50
43,46,57,17,43
34,24,46,56,46
49,55,57,24,49
40,50,38,52,53
35,36,40,42,32
39,38,51,37,55
21,48,45,33,45
33,45,38,51,57
36,47,40,34,55
44,50,58,27,44
33,48,41,27,52
37,55,46,20,58
56,51,58,28,52
31,53,57,17,49
33,37,35,33,40
36,50,50,19,44
39,38,27,32,34
24,38,29,49,59
31,33,52,30,41
41,45,55,38,54
20,52,37,48,49
35,59,56,27,58
36,37,53,20,44
20,35,43,49,41
40,53,51,27,52
39,52,54,38,56
30,49,50,22,20
39,45,32,45,60
54,42,38,22,52
32,39,34,53,56
40,44,42,42,44
20,39,34,49,41
28,59,33,43,52
36,53,53,19,51
32,45,56,20,57
38,50,41,53,57
60,44,56,12,60
28,38,51,46,27
60,24,52,44,51
28,50,54,19,21
51,60,54,16,42
18,43,26,56,49
20,37,17,55,45
29,45,39,33,45
29,44,49,40,42
42,42,43,37,50
33,37,58,47,56
55,48,51,14,26
34,53,51,23,57
26,56,35,20,54
25,42,36,44,38
36,36,39,33,35
27,45,41,51,56
34,46,58,13,57
49,60,60,19,49
25,37,42,24,26
31,51,44,24,46
49,48,57,26,38
59,56,60,12,57
27,47,45,35,49
40,53,52,20,42
42,51,58,29,59
50,44,54,17,37
16,28,17,60,27
24,54,50,32,39
48,38,59,27,58
49,49,60,20,54
40,51,47,28,48
37,37,41,44,51
41,60,60,17,60
34,38,43,39,49
55,57,39,50,54
26,45,54,48,42
39,38,44,34,52
53,60,57,17,60
32,47,37,24,52
34,49,40,23,25
21,45,31,45,58
42,51,55,16,41
42,51,41,23,46
44,44,52,42,30
56,51,60,16,51
42,45,56,43,44
46,44,40,47,51
40,41,44,46,59
39,48,45,39,45
26,49,39,33,56
42,41,38,34,45
25,55,27,45,48
52,60,60,23,52
37,50,54,14,60
33,42,57,19,48
46,56,56,22,48
49,55,43,13,41
17,39,42,52,51
40,46,58,38,51
29,45,40,48,42
21,57,52,51,44
37,46,41,35,53
42,34,59,34,36
34,40,35,52,54
27,58,44,30,53
32,43,18,59,51
29,49,50,43,50
40,49,51,35,42
39,28,40,48,34
24,46,34,44,52
48,32,50,30,55
13,35,29,50,33
38,33,31,49,58
37,56,55,45,56
45,35,55,29,59
25,49,40,53,18
29,52,37,49,55
50,55,57,13,41
56,57,58,13,36
45,49,56,21,51
39,43,37,42,38
33,59,48,22,45
37,37,41,31,41
41,34,54,44,46
35,38,24,46,60
28,50,42,42,47
30,33,38,37,40
25,34,19,48,56
19,42,19,58,49
48,56,58,17,46
38,36,40,40,40
38,57,58,37,55
19,36,26,53,28
35,30,48,27,53
50,34,49,49,54
27,37,29,55,41
34,34,47,32,29
37,34,46,44,46
51,35,58,12,50
27,50,57,24,41
45,38,26,27,56
22,45,40,15,49
36,57,48,38,44
41,43,49,30,53
50,59,51,23,56
27,39,59,54,58
23,39,31,50,47
30,56,42,32,46
31,30,39,28,39
33,37,36,42,38
45,35,36,53,58
37,36,46,19,59
42,56,57,18,55
22,51,52,43,47
21,52,46,46,58
36,51,46,25,56
46,53,22,43,44
36,50,50,26,57
24,35,33,47,53
17,44,47,46,46
32,53,56,21,41
22,50,45,40,57
48,45,37,43,52
24,51,58,19,52
41,50,46,24,55
18,38,35,49,57
30,49,49,40,50
42,50,56,47,59
41,47,40,24,60
26,39,34,36,57
39,56,43,31,53
41,55,44,16,60
22,45,47,22,30
31,49,60,26,40
57,60,60,17,59
16,44,36,45,41
19,48,51,59,47
29,38,27,52,56
23,33,38,34,42
41,54,44,20,57
48,51,56,39,59
36,55,47,41,35
39,55,42,29,59
24,49,44,47,56
48,58,59,14,46
28,31,30,34,53
21,28,55,45,35
44,46,46,55,44
24,34,50,51,50
49,46,41,37,60
39,34,51,23,60
41,48,48,26,40
46,59,42,41,60
33,38,45,33,42
29,41,44,36,38
46,56,59,17,59
35,41,43,35,35
39,46,48,25,50
31,56,58,36,54
42,46,37,24,29
36,58,32,20,51
30,48,44,25,38
57,42,51,38,50
20,38,24,43,38
45,47,41,36,50
19,54,46,41,35
45,44,41,41,49
45,57,33,49,47
29,41,36,39,38
39,58,57,13,52
45,49,48,26,53
26,58,60,16,40
20,26,44,55,30
49,59,50,22,55
25,43,53,38,23
39,55,56,23,40
43,45,54,37,43
44,33,55,56,30
27,37,24,50,60
47,51,41,50,56
28,51,60,30,54
40,33,43,38,58
34,45,45,40,58
37,35,44,35,41
30,43,40,45,37
25,48,60,26,33
29,40,25,56,41
35,34,59,12,59
49,42,47,38,38
31,49,47,30,37
39,51,48,24,56
24,36,51,34,53
32,47,35,31,24
26,52,32,35,53
35,45,49,18,57
25,42,29,47,59
50,54,60,14,60
46,47,28,41,58
33,56,55,14,60
39,48,41,34,56
51,50,53,28,51
33,36,44,40,55
47,43,44,38,39
58,44,40,44,60
35,37,51,46,59
19,34,44,38,36
24,44,48,39,51
40,55,57,21,48
23,46,32,36,35
41,48,58,15,58
51,49,60,24,58
25,35,31,32,37
35,34,37,27,37
36,44,54,17,50
25,42,39,48,53
50,57,59,22,60
28,47,30,58,57
42,34,53,40,56
25,38,55,24,55
27,32,45,28,35
26,40,43,39,24
16,54,23,56,59
34,42,37,45,43
31,39,35,41,42
19,45,50,29,29
33,50,55,43,52
35,39,53,53,42
39,37,50,39,54
50,54,58,19,53
48,50,43,34,54
35,49,53,34,58
51,50,60,14,48
49,49,60,19,44
43,42,44,25,53
37,51,52,36,31
34,45,50,27,49
37,52,50,15,53
54,43,57,24,50
21,43,41,28,59
22,52,58,44,52
42,44,38,18,49
43,58,57,14,58
45,45,44,43,45
45,33,34,45,58
16,52,29,37,38
40,38,34,50,53
37,54,57,17,55
49,50,43,40,43
27,46,48,32,45
22,56,59,15,26
25,43,45,59,26
23,50,50,35,50
35,35,41,35,34
49,43,43,24,50
28,54,50,41,54
43,41,40,43,30
40,56,58,22,49
21,50,57,20,26
36,31,28,33,46
18,49,48,46,41
27,44,58,25,47
37,36,36,36,36
53,49,47,22,42
36,49,54,36,48
32,50,50,27,48
31,42,43,41,40
34,45,40,39,45
37,59,45,12,57
55,52,54,31,55
24,47,37,51,59
38,43,48,29,37
37,57,53,16,40
35,51,51,22,53
19,47,49,36,23
23,51,37,50,52
43,48,53,40,43
49,45,50,25,48
39,40,35,37,43
50,52,50,21,41
31,45,45,21,39
35,51,54,25,40
53,53,55,22,58
34,48,57,44,50
52,53,58,17,46
28,55,45,37,60
47,43,48,27,56
27,47,43,36,40
25,46,50,40,56
28,48,55,31,60
51,35,45,41,34
23,59,58,24,52
47,37,41,57,52
40,50,51,22,43
26,56,41,42,55
32,41,55,31,26
25,37,32,46,53
49,38,40,26,57
18,47,51,35,41
43,47,41,47,42
44,37,39,45,59
23,45,42,38,47
36,47,44,43,47
39,42,32,54,51
24,60,60,12,52
40,50,52,46,59
29,43,45,25,33
48,52,31,16,58
34,36,39,32,40
40,50,60,12,48
41,57,55,19,56
30,45,30,29,44
37,38,39,32,42
40,54,56,24,47
26,44,40,44,39
44,57,53,30,32
32,53,50,43,56
15,56,56,47,51
47,48,40,35,48
17,37,37,24,54
39,35,25,58,60
27,32,36,59,57
29,59,34,26,32
30,48,31,30,59
41,40,51,41,50
26,44,55,26,52
44,50,49,30,43
41,48,42,22,41
51,37,48,51,55
32,36,29,58,42
35,55,58,53,60
28,48,48,31,39
21,32,52,20,49
55,57,54,21,53
42,49,57,13,39
28,47,52,36,45
37,40,48,28,42
25,43,47,57,56
46,56,56,24,42
40,57,60,12,39
53,59,57,12,52
30,46,58,44,29
36,48,53,23,44
24,38,52,44,38
20,51,34,34,36
35,41,45,32,40
16,60,60,13,57
42,38,43,31,44
36,54,48,28,41
33,40,48,39,30
43,56,51,19,47
27,56,45,25,49
26,49,56,27,58
45,52,59,17,53
38,51,39,31,48
24,46,51,51,47
29,54,56,27,49
45,50,50,27,57
27,50,51,36,52
38,44,46,14,59
29,53,56,29,35
23,47,35,28,29
40,45,49,27,49
30,36,30,59,44
30,51,56,20,48
25,51,50,23,38
51,45,37,26,51
36,42,37,52,40
39,52,47,39,58
43,49,56,34,59
31,40,59,54,26
42,56,57,25,36
45,47,59,19,57
42,40,48,24,46
36,54,48,22,54
42,46,35,46,52
27,31,50,56,46
45,52,46,26,54
28,55,48,33,45
46,58,38,37,60
39,46,47,30,40
53,47,48,13,56
60,57,57,26,43
41,51,58,21,43
49,56,58,19,57
55,50,57,16,59
46,50,48,46,43
18,53,36,40,55
43,52,60,21,53
38,38,44,39,43
24,39,45,51,38
32,44,57,31,34
45,46,59,31,45
28,50,45,25,56
49,21,40,27,55
29,48,24,47,53
51,50,60,17,53
21,36,55,34,36
30,49,52,35,40
32,27,26,16,52
43,45,50,34,44
40,44,53,32,44
16,46,51,39,38
42,60,57,12,50
49,34,48,45,45
39,33,57,40,57
47,42,49,28,51
38,44,46,44,42
35,46,34,43,44
37,46,52,36,53
25,54,54,41,25
47,54,44,40,60
35,51,42,24,45
23,59,44,31,57
47,53,55,32,48
43,52,48,25,42
32,28,46,35,39
58,60,59,17,55
50,57,57,26,29
39,42,46,15,46
42,31,49,32,18
45,39,54,44,34
45,47,51,24,58
47,48,55,27,49
56,54,60,18,50
25,38,28,51,46
53,53,54,18,49
26,56,39,34,59
44,55,60,26,60
26,42,45,52,54
30,51,58,32,41
30,40,56,19,34
45,60,60,24,59
48,50,55,22,31
23,53,42,28,33
31,46,39,38,44
42,60,60,12,56
34,37,35,38,38
40,52,49,36,47
37,56,47,23,57
37,47,59,25,40
34,55,53,28,46
42,48,56,22,51
25,26,55,43,23
50,33,46,44,47
32,51,34,37,47
46,54,49,41,46
26,54,36,33,23
41,57,34,44,46
31,59,59,13,52
32,40,45,43,41
45,57,57,24,41
42,60,50,16,56
40,45,45,26,57
46,50,56,21,58
23,47,47,39,56
33,60,56,17,58
49,49,52,33,48
42,57,52,37,59
27,40,32,49,53
25,50,33,43,58
25,36,57,41,60
22,43,34,45,57
30,47,48,31,47
48,35,52,22,35
42,44,52,26,53
54,50,58,23,56
51,52,60,12,47
39,51,49,25,52
37,39,34,30,34
44,43,32,44,57
39,53,57,27,49
33,49,37,21,46
31,50,50,51,59
29,44,44,42,57
42,46,51,47,40
47,56,60,14,51
42,50,31,32,49
54,51,57,18,53
31,32,44,43,56
41,24,34,38,44
21,40,29,54,45
30,51,43,28,40
36,43,45,31,44
38,60,28,27,60
30,53,55,50,46
33,31,46,13,46
53,58,57,17,58
30,50,38,37,31
38,48,39,47,49
39,33,49,42,44
26,43,36,56,52
41,46,47,33,56
46,36,41,33,39
50,44,46,25,45
36,41,19,47,44
37,27,59,31,49
17,46,46,39,49
55,56,60,12,56
26,44,39,54,55
34,44,48,33,45
28,55,49,35,48
33,41,52,29,57
50,52,57,18,58
36,52,53,13,38
38,31,49,29,56
35,45,41,36,40
30,54,54,49,48
13,48,22,46,42
34,37,43,42,53
30,56,44,27,53
45,52,58,32,46
56,57,58,12,56
17,51,42,52,37
31,27,56,29,42
42,52,42,36,56
35,60,51,16,30
35,41,58,57,48
31,57,44,20,49
38,58,60,19,42
23,55,51,15,51
36,51,50,33,54
27,53,47,20,44
31,38,51,40,55
26,59,41,43,56
38,42,56,51,60
31,51,53,28,43
22,31,56,43,58
40,41,29,24,57
20,39,39,56,21
19,48,53,42,52
35,56,27,38,44
35,36,43,35,35
33,48,35,30,40
45,58,60,14,56
30,46,37,34,51
39,45,55,53,56
33,41,48,51,54
42,48,50,44,55
17,35,33,50,54
46,49,52,32,54
39,35,34,47,42
39,44,43,26,39
49,46,50,43,54
34,50,54,16,60
22,50,51,43,53
26,60,60,33,41
25,53,42,38,56
38,43,42,32,39
54,57,58,20,51
34,56,50,13,47
31,53,54,40,60
39,53,45,20,43
34,37,48,29,34
25,48,44,40,35
18,44,49,46,59
34,52,60,18,56
43,55,59,12,42
29,53,60,20,48
32,41,41,29,37
21,36,40,30,47
33,53,48,32,33
27,55,38,49,54
40,55,60,15,41
26,50,50,29,33
31,50,44,28,45
50,54,36,28,59
42,41,43,41,43
37,44,45,40,54
45,45,48,34,46
19,38,50,40,56
38,51,30,32,56
26,19,20,52,46
39,52,55,36,58
54,47,42,22,60
16,51,28,57,56
27,52,41,28,47
31,60,58,20,59
43,45,60,19,57
15,52,47,53,57
29,53,47,21,56
28,41,56,18,49
38,43,59,16,49
53,37,47,15,50
24,43,52,39,56
58,57,60,13,60
23,39,43,41,44
40,34,47,27,45
32,46,48,24,40
51,56,56,16,52
35,51,46,44,59
33,41,48,36,42
55,38,57,35,57
30,53,33,31,54
42,60,60,12,57
32,46,50,35,46
51,59,57,31,57
31,38,36,41,52
23,55,29,34,56
49,59,55,15,53
46,39,43,23,49
33,54,57,28,42
19,28,35,45,53
33,47,35,50,49
44,47,47,25,40
28,40,32,32,57
40,51,49,28,49
28,36,33,29,49
35,60,53,12,60
24,50,51,28,39
27,50,44,59,51
16,42,51,41,50
39,34,41,31,41
38,45,37,28,50
33,46,47,27,35
36,48,45,16,36
47,52,53,33,33
35,42,38,36,44
36,41,45,15,50
31,50,27,54,51
45,46,53,14,60
32,34,27,40,45
29,43,36,47,36
34,55,58,26,51
56,36,39,21,54
40,40,58,33,57
48,47,46,25,48
24,43,52,36,50
32,60,58,14,51
44,42,40,36,54
44,40,57,52,52
22,45,54,47,29
36,52,53,19,57
37,49,44,42,58
30,37,51,43,56
35,52,57,37,49
46,46,58,23,51
20,50,34,36,55
17,56,45,30,59
49,33,55,19,47
29,35,38,50,49
28,34,47,58,46
34,58,44,17,60
28,42,39,42,48
49,45,40,26,57
18,35,35,56,53
38,41,42,28,47
40,37,37,34,37
48,60,58,14,60
23,58,48,49,44
29,52,28,36,54
45,51,54,26,47
56,57,59,18,58
29,40,50,31,54
38,41,35,21,54
37,40,44,40,49
23,49,43,39,51
39,40,60,29,32
49,49,56,31,40
33,47,25,28,56
46,52,56,17,44
46,53,58,16,38
38,38,37,35,38
24,24,19,41,59
39,35,35,34,32
47,53,44,26,55
49,60,59,17,53
12,38,37,57,48
37,55,40,17,51
51,37,41,25,46
35,38,47,37,39
19,45,41,23,39
19,48,35,33,46
17,54,40,42,47
36,51,54,23,46
36,22,36,12,43
31,50,39,32,33
37,48,54,47,43
37,38,40,37,60
23,58,32,41,57
43,38,48,43,48
20,54,45,42,50
18,52,37,24,12
55,55,59,23,60
25,49,50,56,28
20,46,28,37,49
34,53,22,44,60
19,43,34,43,38
40,39,58,46,45
38,47,50,33,41
40,42,56,30,59
55,44,42,16,40
39,56,58,31,44
46,42,60,20,47
41,59,59,13,56
21,39,35,49,52
